Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560718800.0 136.7803 NA 103 0 NA NA NA NA NA NA NA 187 0 NA NA NA NA NA NA NA 625 253 NA NA NA NA NA NA NA 1470 602 NA NA NA NA NA NA
1560718800.0 136.7952 NA 181 0 NA NA NA NA NA NA NA 300 0 NA NA NA NA NA NA NA 3489 197 NA NA NA NA NA NA NA 2871 913 NA NA NA NA NA NA
1560718800.0 136.8311 NA 171 0 NA NA NA NA NA NA NA 285 0 NA NA NA NA NA NA NA 2497 188 NA NA NA NA NA NA NA 4451 557 NA NA NA NA NA NA
1560718800.0 136.882 NA 258 407 0 NA NA NA NA NA NA 400 713 0 NA NA NA NA NA NA 3126 7978 2097 NA NA NA NA NA NA 4450 9400 2377 NA NA NA NA NA
1560718800.0 1362.17 66 180 375 0 NA NA NA NA NA 145 597 736 0 NA NA NA NA NA 8651 899 2380 1096 NA NA NA NA NA 7142 2499 3989 1477 NA NA NA NA NA
1560718800.0 2017.8 187 NA NA NA NA NA NA NA NA 304 NA NA NA NA NA NA NA NA 544 NA NA NA NA NA NA NA NA 934 NA NA NA NA NA NA NA NA
1560718800.0 2018.8 185 NA NA NA NA NA NA NA NA 300 NA NA NA NA NA NA NA NA 589 NA NA NA NA NA NA NA NA 1142 NA NA NA NA NA NA NA NA
1560718800.0 4.22 NA 142 62 60 0 NA NA NA NA NA 250 123 134 0 NA NA NA NA NA 1191 306 1307 332 NA NA NA NA NA 6656 1055 2720 919 NA NA NA NA
1560718800.0 4.28 NA 70 312 0 NA NA NA NA NA NA 122 626 0 NA NA NA NA NA NA 445 5523 3560 NA NA NA NA NA NA 1034 9039 4412 NA NA NA NA NA
1560718800.0 4008.0 61 129 316 NA NA NA NA NA NA 130 557 622 NA NA NA NA NA NA 880 500 1550 NA NA NA NA NA NA 2191 519 1884 NA NA NA NA NA NA
1560718800.0 504.0 31 0 NA NA NA NA NA NA NA 84 0 NA NA NA NA NA NA NA 219 175 NA NA NA NA NA NA NA 791 680 NA NA NA NA NA NA NA
1560718800.0 507.0 33 0 NA NA NA NA NA NA NA 78 0 NA NA NA NA NA NA NA 242 168 NA NA NA NA NA NA NA 668 426 NA NA NA NA NA NA NA
1560718800.0 508.0 32 0 NA NA NA NA NA NA NA 78 0 NA NA NA NA NA NA NA 271 170 NA NA NA NA NA NA NA 1779 451 NA NA NA NA NA NA NA
1560718800.0 509.0 28 0 NA NA NA NA NA NA NA 77 0 NA NA NA NA NA NA NA 196 173 NA NA NA NA NA NA NA 527 596 NA NA NA NA NA NA NA
1560718800.0 510.0 35 0 NA NA NA NA NA NA NA 84 0 NA NA NA NA NA NA NA 376 200 NA NA NA NA NA NA NA 2276 1003 NA NA NA NA NA NA NA
1560718800.0 511.0 41 0 NA NA NA NA NA NA NA 108 0 NA NA NA NA NA NA NA 9057 200 NA NA NA NA NA NA NA 13784 1586 NA NA NA NA NA NA NA
1560718800.0 512.0 13 31 0 NA NA NA NA NA NA 60 87 0 NA NA NA NA NA NA 3093 221 197 NA NA NA NA NA NA 30682 599 963 NA NA NA NA NA NA
1560718800.0 513.0 13 33 0 NA NA NA NA NA NA 58 90 0 NA NA NA NA NA NA 798 258 174 NA NA NA NA NA NA 3332 628 742 NA NA NA NA NA NA
1560718800.0 514.0 13 38 0 NA NA NA NA NA NA 58 89 0 NA NA NA NA NA NA 395 260 172 NA NA NA NA NA NA 1000 707 519 NA NA NA NA NA NA
1560718800.0 515.0 13 37 0 NA NA NA NA NA NA 58 88 0 NA NA NA NA NA NA 3088 225 180 NA NA NA NA NA NA 30682 646 740 NA NA NA NA NA NA
1560718800.0 516.0 13 33 0 NA NA NA NA NA NA 58 88 0 NA NA NA NA NA NA 775 235 167 NA NA NA NA NA NA 3663 630 536 NA NA NA NA NA NA
1560718800.0 517.0 13 35 0 NA NA NA NA NA NA 58 89 0 NA NA NA NA NA NA 956 291 174 NA NA NA NA NA NA 2568 1792 662 NA NA NA NA NA NA
1560718800.0 518.0 13 31 0 NA NA NA NA NA NA 58 88 0 NA NA NA NA NA NA 3086 217 200 NA NA NA NA NA NA 30672 543 1045 NA NA NA NA NA NA
1560718800.0 519.0 13 33 0 NA NA NA NA NA NA 58 88 0 NA NA NA NA NA NA 805 222 169 NA NA NA NA NA NA 3589 666 566 NA NA NA NA NA NA
1560718800.0 520.0 13 38 0 NA NA NA NA NA NA 58 88 0 NA NA NA NA NA NA 926 285 163 NA NA NA NA NA NA 1747 692 473 NA NA NA NA NA NA
1560718800.0 521.0 13 32 0 NA NA NA NA NA NA 58 88 0 NA NA NA NA NA NA 815 233 170 NA NA NA NA NA NA 3455 631 554 NA NA NA NA NA NA
1560718800.0 522.0 13 33 0 NA NA NA NA NA NA 59 89 0 NA NA NA NA NA NA 3091 260 178 NA NA NA NA NA NA 30672 530 710 NA NA NA NA NA NA
1560718800.0 523.0 15 42 0 NA NA NA NA NA NA 58 99 0 NA NA NA NA NA NA 1479 585 275 NA NA NA NA NA NA 3316 1249 900 NA NA NA NA NA NA
1560718800.0 524.0 13 34 0 NA NA NA NA NA NA 58 89 0 NA NA NA NA NA NA 946 226 196 NA NA NA NA NA NA 2688 611 993 NA NA NA NA NA NA
1560718800.0 525.0 15 35 0 NA NA NA NA NA NA 58 89 0 NA NA NA NA NA NA 564 189 119 NA NA NA NA NA NA 2919 556 295 NA NA NA NA NA NA
1560718800.0 528.0 13 32 0 NA NA NA NA NA NA 58 89 0 NA NA NA NA NA NA 804 229 172 NA NA NA NA NA NA 3003 645 742 NA NA NA NA NA NA
1560718800.0 530.0 13 35 0 NA NA NA NA NA NA 58 91 0 NA NA NA NA NA NA 947 347 171 NA NA NA NA NA NA 2488 1854 516 NA NA NA NA NA NA
1560718800.0 534.0 34 0 NA NA NA NA NA NA NA 98 0 NA NA NA NA NA NA NA 250 171 NA NA NA NA NA NA NA 918 464 NA NA NA NA NA NA NA
1560718800.0 541.0 38 0 NA NA NA NA NA NA NA 93 0 NA NA NA NA NA NA NA 227 186 NA NA NA NA NA NA NA 846 724 NA NA NA NA NA NA NA
1560718800.0 551.0 13 34 0 NA NA NA NA NA NA 58 89 0 NA NA NA NA NA NA 1292 239 165 NA NA NA NA NA NA 6838 672 563 NA NA NA NA NA NA
1560718800.0 552.0 13 34 0 NA NA NA NA NA NA 58 88 0 NA NA NA NA NA NA 1007 247 195 NA NA NA NA NA NA 3415 537 999 NA NA NA NA NA NA
1560718800.0 554.0 13 33 0 NA NA NA NA NA NA 58 89 0 NA NA NA NA NA NA 1614 240 170 NA NA NA NA NA NA 2888 630 591 NA NA NA NA NA NA
1560718800.0 555.0 16 34 0 NA NA NA NA NA NA 58 85 0 NA NA NA NA NA NA 1705 457 257 NA NA NA NA NA NA 4220 1260 815 NA NA NA NA NA NA
1560718800.0 561.0 34 0 NA NA NA NA NA NA NA 79 0 NA NA NA NA NA NA NA 211 184 NA NA NA NA NA NA NA 533 863 NA NA NA NA NA NA NA
1560718800.0 562.0 14 38 0 NA NA NA NA NA NA 58 89 0 NA NA NA NA NA NA 400 244 171 NA NA NA NA NA NA 2327 1009 493 NA NA NA NA NA NA
1560718800.0 7.2 52 237 216 58 0 NA NA NA NA 113 585 395 118 0 NA NA NA NA 961 2978 1485 713 1132 NA NA NA NA 1588 4665 1657 1849 1696 NA NA NA NA
1560718800.0 8.0 NA 136 154 38 0 NA NA NA NA NA 589 250 90 0 NA NA NA NA NA 1749 696 184 310 NA NA NA NA NA 1864 1446 461 887 NA NA NA NA
