Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560636000.0 1.0 86 80 139 NA NA 185 368 243 NA NA 1953 386 275 NA NA 1408 580 426 NA NA
1560636000.0 10024.1 NA 216 266 0 NA NA 486 373 0 NA NA 811 470 223 NA NA 942 395 229 NA
1560636000.0 10024.3 NA 213 243 0 NA NA 498 348 0 NA NA 726 444 185 NA NA 815 404 193 NA
1560636000.0 101.0 81 NA NA NA NA 150 NA NA NA NA 809 NA NA NA NA 956 NA NA NA NA
1560636000.0 1010.0 NA 21 69 0 NA NA 74 122 0 NA NA 17 113 31 NA NA 65 133 56 NA
1560636000.0 102.0 82 NA NA NA NA 151 NA NA NA NA 610 NA NA NA NA 739 NA NA NA NA
1560636000.0 1020.0 NA 35 NA NA NA NA 111 NA NA NA NA 58 NA NA NA NA 161 NA NA NA
1560636000.0 1030.0 NA 150 42 0 NA NA 257 83 0 NA NA 1689 44 2 NA NA 1164 60 30 NA
1560636000.0 105.0 87 82 25 NA NA 185 369 67 NA NA 1814 425 3 NA NA 1212 415 15 NA NA
1560636000.0 106.0 43 0 0 NA NA 90 0 0 NA NA 635 110 284 NA NA 531 88 1122 NA NA
1560636000.0 109.0 94 90 464 NA NA 191 362 558 NA NA 4435 427 634 NA NA 2401 589 573 NA NA
1560636000.0 111.0 87 86 467 NA NA 184 361 553 NA NA 2550 310 505 NA NA 1701 342 588 NA NA
1560636000.0 112.0 92 87 457 NA NA 191 369 541 NA NA 3038 390 479 NA NA 1349 299 445 NA NA
1560636000.0 113.0 85 87 457 NA NA 190 369 554 NA NA 2913 397 486 NA NA 1769 328 453 NA NA
1560636000.0 114.0 85 86 459 NA NA 182 369 549 NA NA 3239 382 496 NA NA 1440 284 468 NA NA
1560636000.0 116.0 86 89 458 NA NA 186 361 553 NA NA 3337 397 502 NA NA 1559 309 444 NA NA
1560636000.0 117.0 88 89 465 NA NA 192 361 568 NA NA 4224 437 619 NA NA 2033 440 548 NA NA
1560636000.0 118.0 82 89 462 NA NA 183 369 558 NA NA 4031 427 565 NA NA 1822 317 483 NA NA
1560636000.0 119.0 88 85 456 NA NA 189 361 552 NA NA 2429 384 478 NA NA 1393 289 465 NA NA
1560636000.0 121.0 90 89 462 NA NA 192 362 560 NA NA 3465 407 583 NA NA 2207 342 475 NA NA
1560636000.0 123.1 317 NA NA NA NA 503 NA NA NA NA 726 NA NA NA NA 615 NA NA NA NA
1560636000.0 123.2 322 NA NA NA NA 506 NA NA NA NA 809 NA NA NA NA 648 NA NA NA NA
1560636000.0 124.2 316 NA NA NA NA 507 NA NA NA NA 705 NA NA NA NA 646 NA NA NA NA
1560636000.0 124.4 308 NA NA NA NA 502 NA NA NA NA 573 NA NA NA NA 633 NA NA NA NA
1560636000.0 125.0 87 86 459 NA NA 188 369 540 NA NA 2999 391 467 NA NA 1505 372 439 NA NA
1560636000.0 1301.0 77 92 177 NA NA 151 375 301 NA NA 1703 455 318 NA NA 1451 496 439 NA NA
1560636000.0 1302.0 94 101 187 NA NA 167 381 283 NA NA 3890 495 413 NA NA 1641 416 441 NA NA
1560636000.0 1303.0 89 102 191 NA NA 160 374 290 NA NA 7397 533 635 NA NA 3241 778 567 NA NA
1560636000.0 1307.0 NA 90 181 49 0 NA 379 266 88 0 NA 477 368 14 127 NA 1410 572 59 179
1560636000.0 1308.0 NA 89 175 48 0 NA 379 252 87 0 NA 423 320 12 124 NA 735 794 31 188
1560636000.0 132.0 90 88 457 NA NA 186 361 564 NA NA 3021 408 548 NA NA 1371 326 563 NA NA
1560636000.0 1325.1 NA 105 218 0 NA NA 386 279 0 NA NA 583 437 182 NA NA 635 513 211 NA
1560636000.0 1325.3 NA 104 205 0 NA NA 385 282 0 NA NA 558 412 171 NA NA 704 508 193 NA
1560636000.0 1325.5 NA 136 0 NA NA NA 203 0 NA NA NA 777 21 NA NA NA 1012 32 NA NA
1560636000.0 133.0 88 91 467 NA NA 188 361 553 NA NA 5283 440 647 NA NA 2067 336 489 NA NA
1560636000.0 134.813 NA 185 61 0 NA NA 270 111 0 NA NA 674 104 143 NA NA 585 117 291 NA
1560636000.0 135.1 340 0 97 NA NA 515 0 153 NA NA 831 145 184 NA NA 849 203 479 NA NA
1560636000.0 135.11 343 0 100 NA NA 515 0 156 NA NA 1159 141 230 NA NA 2735 181 292 NA NA
1560636000.0 135.12 338 0 96 NA NA 507 0 153 NA NA 737 134 175 NA NA 1081 174 659 NA NA
1560636000.0 135.2 284 0 94 NA NA 514 0 150 NA NA 600 118 159 NA NA 1002 142 270 NA NA
1560636000.0 135.3 283 0 93 NA NA 515 0 148 NA NA 610 119 164 NA NA 577 139 284 NA NA
1560636000.0 135.4 327 0 97 NA NA 507 0 153 NA NA 709 133 176 NA NA 808 169 332 NA NA
1560636000.0 135.5 327 0 88 NA NA 518 0 155 NA NA 558 113 159 NA NA 730 129 934 NA NA
1560636000.0 135.6 332 0 95 NA NA 507 0 153 NA NA 652 119 140 NA NA 858 191 197 NA NA
1560636000.0 135.7 329 0 94 NA NA 507 0 150 NA NA 711 133 175 NA NA 669 199 275 NA NA
1560636000.0 135.8 145 NA NA NA NA 236 NA NA NA NA 286 NA NA NA NA 602 NA NA NA NA
1560636000.0 135.9 297 0 91 NA NA 515 0 149 NA NA 415 107 114 NA NA 564 126 198 NA NA
1560636000.0 136.733 NA 192 67 0 NA NA 286 120 0 NA NA 698 388 123 NA NA 924 504 203 NA
1560636000.0 136.735 NA 65 451 0 NA NA 132 544 0 NA NA 607 1266 541 NA NA 513 1202 588 NA
1560636000.0 136.737 NA 59 571 0 NA NA 124 724 0 NA NA 430 10890 591 NA NA 318 3269 602 NA
1560636000.0 136.738 NA 65 551 0 NA NA 130 675 0 NA NA 608 10650 592 NA NA 483 3110 626 NA
