Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560718800.0 1.0 82 115 227 NA NA 201 402 486 NA NA 1035 455 1404 NA NA 2753 472 1702 NA NA
1560718800.0 10.0 NA 137 313 0 NA NA 479 573 0 NA NA 3285 4616 673 NA NA 1774 2953 784 NA
1560718800.0 1001.2 NA 386 139 0 NA NA 672 210 0 NA NA 14677 1982 118 NA NA 5803 1504 208 NA
1560718800.0 1002.0 NA 309 93 NA NA NA 551 141 NA NA NA 3355 398 NA NA NA 2735 350 NA NA
1560718800.0 10024.2 NA 182 390 0 NA NA 473 657 0 NA NA 2237 3400 1254 NA NA 2130 4324 1381 NA
1560718800.0 10024.4 NA 188 392 0 NA NA 495 669 0 NA NA 2184 3102 1199 NA NA 1727 3158 1304 NA
1560718800.0 1003.0 NA 283 0 NA NA NA 532 0 NA NA NA 3171 576 NA NA NA 2730 669 NA NA
1560718800.0 101.0 93 NA NA NA NA 175 NA NA NA NA 882 NA NA NA NA 1059 NA NA NA NA
1560718800.0 102.0 86 NA NA NA NA 175 NA NA NA NA 841 NA NA NA NA 1374 NA NA NA NA
1560718800.0 10224.0 NA 334 596 0 NA NA 655 960 0 NA NA 5566 5410 1238 NA NA 3887 3053 1325 NA
1560718800.0 10225.0 NA 330 611 0 NA NA 801 908 0 NA NA 5749 5107 1043 NA NA 4144 3014 1109 NA
1560718800.0 1040.0 NA 319 NA NA NA NA 598 NA NA NA NA 2315 NA NA NA NA 2172 NA NA NA
1560718800.0 10424.0 NA 170 379 0 NA NA 493 662 0 NA NA 1790 3364 1243 NA NA 1859 4391 1515 NA
1560718800.0 107.0 82 114 283 NA NA 209 460 562 NA NA 1951 619 1943 NA NA 1912 830 2150 NA NA
1560718800.0 108.0 91 119 297 NA NA 209 423 648 NA NA 3799 649 2546 NA NA 2026 483 2540 NA NA
1560718800.0 10824.1 NA 288 212 0 NA NA 633 357 0 NA NA 2718 1178 388 NA NA 2219 1253 491 NA
1560718800.0 10824.5 NA 293 120 0 NA NA 646 253 0 NA NA 2813 747 144 NA NA 1891 936 222 NA
1560718800.0 109.0 93 112 301 NA NA 201 452 555 NA NA 3248 1053 2618 NA NA 1555 728 2547 NA NA
1560718800.0 111.0 80 115 286 NA NA 201 398 541 NA NA 1713 551 2358 NA NA 2239 542 2539 NA NA
1560718800.0 11224.0 NA 284 417 0 NA NA 608 707 0 NA NA 2469 2890 1943 NA NA 2734 4025 2178 NA
1560718800.0 11224.6 NA 290 413 0 NA NA 712 731 0 NA NA 2556 3027 1949 NA NA 2518 3160 2050 NA
1560718800.0 113.0 92 114 291 NA NA 223 423 645 NA NA 3005 620 2331 NA NA 1963 507 2491 NA NA
1560718800.0 114.0 83 117 287 NA NA 204 410 561 NA NA 1829 603 2012 NA NA 1725 725 2230 NA NA
1560718800.0 115.0 100 117 289 NA NA 218 425 548 NA NA 2220 683 1966 NA NA 1421 743 2090 NA NA
1560718800.0 116.0 113 117 297 NA NA 223 413 600 NA NA 3745 785 2413 NA NA 1790 643 2506 NA NA
1560718800.0 117.0 102 118 296 NA NA 223 394 558 NA NA 3735 636 2430 NA NA 1725 484 2417 NA NA
1560718800.0 118.0 106 124 295 NA NA 226 421 609 NA NA 3010 631 2187 NA NA 1982 553 2238 NA NA
1560718800.0 11824.0 NA 360 599 0 153 NA 735 900 0 278 NA 5161 6225 1326 890 NA 3350 6135 1762 1005
1560718800.0 119.0 102 115 285 NA NA 215 450 602 NA NA 2301 571 2331 NA NA 2064 459 2465 NA NA
1560718800.0 121.0 101 118 298 NA NA 205 483 555 NA NA 3305 638 2410 NA NA 1665 475 2653 NA NA
1560718800.0 122.0 43 0 0 NA NA 103 0 0 NA NA 624 528 2011 NA NA 1598 775 2923 NA NA
1560718800.0 123.1 327 NA NA NA NA 819 NA NA NA NA 1516 NA NA NA NA 1393 NA NA NA NA
1560718800.0 123.2 321 NA NA NA NA 872 NA NA NA NA 1812 NA NA NA NA 1469 NA NA NA NA
1560718800.0 123.3 247 NA NA NA NA 732 NA NA NA NA 1463 NA NA NA NA 1470 NA NA NA NA
1560718800.0 124.1 314 NA NA NA NA 827 NA NA NA NA 1485 NA NA NA NA 1859 NA NA NA NA
1560718800.0 124.2 307 NA NA NA NA 866 NA NA NA NA 1522 NA NA NA NA 1499 NA NA NA NA
1560718800.0 124.4 316 NA NA NA NA 836 NA NA NA NA 1374 NA NA NA NA 1386 NA NA NA NA
1560718800.0 124.5 312 NA NA NA NA 784 NA NA NA NA 1491 NA NA NA NA 1913 NA NA NA NA
1560718800.0 124.6 257 NA NA NA NA 792 NA NA NA NA 1269 NA NA NA NA 1229 NA NA NA NA
1560718800.0 125.0 100 116 296 NA NA 205 430 594 NA NA 2312 550 2164 NA NA 1222 410 2297 NA NA
1560718800.0 126.0 63 118 267 NA NA 168 456 580 NA NA 1232 466 1894 NA NA 1575 399 2136 NA NA
1560718800.0 127.0 60 116 292 NA NA 137 417 546 NA NA 1295 587 2160 NA NA 1744 528 2419 NA NA
1560718800.0 128.0 64 116 283 NA NA 133 411 547 NA NA 596 658 1857 NA NA 1155 517 2010 NA NA
1560718800.0 129.0 69 114 279 NA NA 146 418 588 NA NA 543 587 1847 NA NA 787 688 2236 NA NA
1560718800.0 13.0 NA 122 309 0 NA NA 430 565 0 NA NA 607 2772 666 NA NA 719 2831 758 NA
1560718800.0 130.0 65 118 286 NA NA 135 449 547 NA NA 622 449 1891 NA NA 1494 460 2078 NA NA
1560718800.0 1301.17 74 181 215 NA NA 141 481 482 NA NA 1140 1428 1586 NA NA 1083 733 1851 NA NA
1560718800.0 1302.0 87 152 211 NA NA 190 484 473 NA NA 2869 664 1679 NA NA 1589 473 1776 NA NA
1560718800.0 1302.17 75 191 256 NA NA 149 531 525 NA NA 2986 978 1819 NA NA 1513 754 2233 NA NA
1560718800.0 1302.18 74 258 192 NA NA 149 621 521 NA NA 4280 3151 1740 NA NA 1990 1971 1738 NA NA
1560718800.0 1303.0 81 149 248 NA NA 159 531 455 NA NA 7742 656 2163 NA NA 3479 524 1857 NA NA
1560718800.0 1303.17 73 185 268 NA NA 152 524 497 NA NA 8224 1269 2523 NA NA 4655 692 2341 NA NA
1560718800.0 1306.0 NA 144 340 0 NA NA 496 587 0 NA NA 558 1983 629 NA NA 474 2202 710 NA
1560718800.0 1309.0 NA 153 368 0 NA NA 496 649 0 NA NA 716 2420 761 NA NA 678 2742 885 NA
1560718800.0 131.0 63 118 284 NA NA 137 409 547 NA NA 1489 564 2259 NA NA 2195 474 2543 NA NA
1560718800.0 1310.0 NA 154 358 0 NA NA 480 639 0 NA NA 869 2657 727 NA NA 1152 2684 820 NA
1560718800.0 1312.0 NA 153 354 0 NA NA 542 614 0 NA NA 800 2702 745 NA NA 677 2598 900 NA
