Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560636000.0 1.0 87 80 195 NA NA 186 367 298 NA NA 1990 530 1095 NA NA 1968 782 1386 NA NA
1560636000.0 1000.0 NA 389 156 0 52 NA 506 262 0 89 NA 2979 1447 691 286 NA 3893 2220 1197 405
1560636000.0 10009.0 NA 194 669 94 0 NA 479 832 144 0 NA 1694 2547 484 1944 NA 2399 5101 1646 2029
1560636000.0 101.0 86 NA NA NA NA 150 NA NA NA NA 1310 NA NA NA NA 1951 NA NA NA NA
1560636000.0 1010.0 NA 22 70 0 NA NA 71 121 0 NA NA 139 274 116 NA NA 758 1169 309 NA
1560636000.0 102.0 82 NA NA NA NA 151 NA NA NA NA 1051 NA NA NA NA 2069 NA NA NA NA
1560636000.0 1020.0 NA 36 NA NA NA NA 109 NA NA NA NA 349 NA NA NA NA 911 NA NA NA
1560636000.0 103.0 43 0 0 NA NA 91 0 0 NA NA 953 278 1604 NA NA 1272 733 2444 NA NA
1560636000.0 1030.0 NA 173 45 0 NA NA 322 84 0 NA NA 9617 284 83 NA NA 6578 457 415 NA
1560636000.0 105.0 86 81 27 NA NA 182 360 66 NA NA 1880 519 137 NA NA 1632 703 350 NA NA
1560636000.0 107.0 91 85 432 NA NA 188 360 545 NA NA 3837 599 2190 NA NA 2425 726 2572 NA NA
1560636000.0 110.0 59 82 425 NA NA 127 367 533 NA NA 1354 563 2078 NA NA 1736 980 2496 NA NA
1560636000.0 111.0 87 83 435 NA NA 185 360 539 NA NA 2011 495 2073 NA NA 1907 1610 2648 NA NA
1560636000.0 112.0 93 86 437 NA NA 191 360 544 NA NA 3370 578 1783 NA NA 2432 1323 1927 NA NA
1560636000.0 113.0 85 86 437 NA NA 187 360 538 NA NA 3240 624 1922 NA NA 2406 794 2430 NA NA
1560636000.0 116.0 86 86 435 NA NA 187 367 540 NA NA 4035 589 1844 NA NA 2567 813 2271 NA NA
1560636000.0 11626.0 74 226 692 93 0 124 473 854 145 0 7288 2109 3377 603 2065 5957 3133 3707 893 2308
1560636000.0 120.0 58 79 422 NA NA 138 367 545 NA NA 1065 549 1762 NA NA 1442 796 2118 NA NA
1560636000.0 122.0 52 77 411 NA NA 107 368 536 NA NA 1065 434 1663 NA NA 2042 953 1915 NA NA
1560636000.0 124.5 308 NA NA NA NA 509 NA NA NA NA 1799 NA NA NA NA 2997 NA NA NA NA
1560636000.0 126.0 62 80 427 NA NA 149 360 548 NA NA 1996 542 1780 NA NA 2021 1376 2288 NA NA
1560636000.0 128.0 57 79 422 NA NA 116 360 543 NA NA 1024 533 1746 NA NA 1308 1316 2300 NA NA
1560636000.0 129.0 58 78 417 NA NA 123 367 537 NA NA 1227 541 1770 NA NA 2010 696 2148 NA NA
1560636000.0 130.0 60 80 427 NA NA 126 367 532 NA NA 1201 566 2041 NA NA 1763 1187 2638 NA NA
1560636000.0 1301.0 83 95 217 NA NA 152 377 318 NA NA 1236 629 1566 NA NA 1305 737 2009 NA NA
1560636000.0 1302.0 93 104 227 NA NA 167 377 333 NA NA 4498 715 1537 NA NA 2111 885 2275 NA NA
1560636000.0 1307.0 NA 96 182 46 0 NA 383 261 87 0 NA 675 716 193 323 NA 2049 2019 392 994
1560636000.0 1308.0 NA 91 175 46 0 NA 383 257 86 0 NA 507 617 161 256 NA 1124 1813 363 457
1560636000.0 132.0 89 86 434 NA NA 183 360 561 NA NA 3839 601 1951 NA NA 2923 774 2515 NA NA
1560636000.0 1325.2 NA 109 563 0 NA NA 384 688 0 NA NA 726 2189 717 NA NA 1604 3110 843 NA
1560636000.0 1325.5 NA 191 0 NA NA NA 279 0 NA NA NA 4610 162 NA NA NA 7617 393 NA NA
1560636000.0 1325.6 NA 167 NA NA NA NA 244 NA NA NA NA 3586 NA NA NA NA 6452 NA NA NA
1560636000.0 1325.8 NA 162 0 NA NA NA 240 0 NA NA NA 2791 155 NA NA NA 5337 441 NA NA
1560636000.0 1329.0 NA 99 553 0 NA NA 384 676 0 NA NA 650 1994 702 NA NA 2592 3048 837 NA
1560636000.0 133.0 89 90 442 NA NA 189 360 546 NA NA 5856 655 2083 NA NA 3363 766 2215 NA NA
1560636000.0 134.813 NA 194 69 0 NA NA 270 110 0 NA NA 1238 295 318 NA NA 1252 446 605 NA
1560636000.0 135.2 280 0 138 NA NA 518 0 208 NA NA 1244 288 710 NA NA 2605 496 829 NA NA
1560636000.0 135.5 321 0 139 NA NA 512 0 213 NA NA 1277 341 855 NA NA 2515 564 1058 NA NA
1560636000.0 135.6 356 0 140 NA NA 520 0 212 NA NA 1811 386 1137 NA NA 2136 1155 3167 NA NA
1560636000.0 135.8 144 NA NA NA NA 234 NA NA NA NA 624 NA NA NA NA 1450 NA NA NA NA
1560636000.0 136.733 NA 193 68 0 NA NA 282 118 0 NA NA 1030 445 283 NA NA 1891 622 636 NA
1560636000.0 136.758 NA 82 548 0 NA NA 139 689 0 NA NA 760 15749 924 NA NA 2275 6114 1171 NA
1560636000.0 136.761 NA 75 573 0 NA NA 133 764 0 NA NA 1031 21191 934 NA NA 1158 10945 1046 NA
1560636000.0 136.7611 NA 198 0 NA NA NA 293 0 NA NA NA 5239 159 NA NA NA 7139 455 NA NA
1560636000.0 136.762 NA 76 586 0 NA NA 140 771 0 NA NA 847 23533 939 NA NA 1014 12576 1032 NA
1560636000.0 136.763 NA 74 550 0 NA NA 139 698 0 NA NA 1009 18630 940 NA NA 1013 8034 1048 NA
1560636000.0 136.7721 NA 191 0 NA NA NA 279 0 NA NA NA 4865 165 NA NA NA 7368 513 NA NA
1560636000.0 136.7801 NA 102 0 NA NA NA 165 0 NA NA NA 684 274 NA NA NA 2011 789 NA NA
1560636000.0 136.7802 NA 130 0 NA NA NA 191 0 NA NA NA 601 281 NA NA NA 2459 1107 NA NA
1560636000.0 140.0 72 90 288 0 NA 128 368 386 0 NA 4178 456 996 277 NA 6797 1210 2393 896 NA
1560636000.0 2.0 89 86 205 NA NA 190 359 328 NA NA 4428 736 1331 NA NA 2997 790 2157 NA NA
1560636000.0 2017.12 385 0 135 NA NA 552 0 211 NA NA 1579 326 758 NA NA 1804 449 1050 NA NA
1560636000.0 2017.4 375 0 142 NA NA 551 0 213 NA NA 1404 333 728 NA NA 1906 551 841 NA NA
1560636000.0 2017.6 376 0 137 NA NA 551 0 215 NA NA 1476 334 750 NA NA 1804 487 941 NA NA
1560636000.0 2017.8 193 NA NA NA NA 275 NA NA NA NA 670 NA NA NA NA 1557 NA NA NA NA
1560636000.0 250400.17 413 0 144 NA NA 584 0 219 NA NA 1850 336 891 NA NA 2448 762 1099 NA NA
1560636000.0 250403.0 357 0 141 NA NA 531 0 216 NA NA 1529 325 804 NA NA 2380 884 1369 NA NA
1560636000.0 250405.0 354 0 140 NA NA 537 0 217 NA NA 1608 296 784 NA NA 3161 665 1351 NA NA
1560636000.0 250405.17 410 0 139 NA NA 574 0 219 NA NA 1705 346 830 NA NA 2346 568 1002 NA NA
1560636000.0 250407.0 309 0 139 NA NA 529 0 219 NA NA 1432 316 766 NA NA 1942 543 949 NA NA
1560636000.0 25406.0 357 0 137 NA NA 547 0 211 NA NA 1599 310 764 NA NA 2119 1076 1005 NA NA
1560636000.0 4.22 NA 192 65 61 0 NA 286 116 124 0 NA 1152 596 396 333 NA 2906 757 808 523
1560636000.0 4.28 NA 60 405 0 NA NA 116 494 0 NA NA 324 2987 2143 NA NA 1017 5558 2598 NA
1560636000.0 4.29 NA 31 416 0 160 NA 79 515 0 268 NA 291 3755 694 1562 NA 748 5923 872 1579
1560636000.0 4.34 NA 63 421 0 NA NA 117 523 0 NA NA 502 3879 882 NA NA 1235 3020 1219 NA
1560636000.0 4.57 NA 58 448 0 NA NA 106 552 0 NA NA 428 8722 782 NA NA 1186 6269 939 NA
1560636000.0 4.58 NA 43 431 0 NA NA 97 523 0 NA NA 370 5391 724 NA NA 1861 4209 965 NA
1560636000.0 4.75 NA 27 433 0 NA NA 81 540 0 NA NA 327 7852 783 NA NA 646 4314 993 NA
1560636000.0 4007.0 54 88 426 NA NA 115 375 563 NA NA 1496 456 1955 NA NA 1813 1001 2405 NA NA
1560636000.0 4008.0 43 0 0 NA NA 92 0 0 NA NA 944 274 1548 NA NA 1267 571 2021 NA NA
1560636000.0 5.2 280 0 NA NA NA 509 0 NA NA NA 1396 308 NA NA NA 2004 472 NA NA NA
1560636000.0 500206.0 NA 185 502 0 NA NA 397 622 0 NA NA 8837 3827 695 NA NA 7353 4515 893 NA
1560636000.0 503.0 38 0 NA NA NA 79 0 NA NA NA 293 177 NA NA NA 694 671 NA NA NA
1560636000.0 504.0 39 0 NA NA NA 80 0 NA NA NA 217 141 NA NA NA 1415 336 NA NA NA
1560636000.0 505.0 40 0 NA NA NA 79 0 NA NA NA 210 144 NA NA NA 484 401 NA NA NA
1560636000.0 506.0 36 0 NA NA NA 80 0 NA NA NA 243 187 NA NA NA 705 1222 NA NA NA
1560636000.0 507.0 35 0 NA NA NA 78 0 NA NA NA 229 139 NA NA NA 583 290 NA NA NA
1560636000.0 508.0 39 0 NA NA NA 79 0 NA NA NA 225 170 NA NA NA 635 540 NA NA NA
1560636000.0 509.0 37 0 NA NA NA 78 0 NA NA NA 214 171 NA NA NA 739 543 NA NA NA
1560636000.0 510.0 36 0 NA NA NA 80 0 NA NA NA 337 171 NA NA NA 580 641 NA NA NA
1560636000.0 514.0 16 36 0 NA NA 57 85 0 NA NA 870 255 190 NA NA 3029 520 1245 NA NA
1560636000.0 517.0 16 37 0 NA NA 56 87 0 NA NA 1562 234 145 NA NA 2943 452 313 NA NA
1560636000.0 520.0 16 36 0 NA NA 56 86 0 NA NA 1723 233 154 NA NA 4467 612 343 NA NA
1560636000.0 523.0 16 48 0 NA NA 56 98 0 NA NA 1520 266 152 NA NA 1650 576 522 NA NA
1560636000.0 524.0 16 43 0 NA NA 56 86 0 NA NA 1536 217 149 NA NA 4085 487 403 NA NA
1560636000.0 527.0 16 37 0 NA NA 56 87 0 NA NA 1513 227 149 NA NA 3922 418 428 NA NA
1560636000.0 530.0 16 37 0 NA NA 56 86 0 NA NA 1790 226 155 NA NA 4576 548 377 NA NA
1560636000.0 531.0 66 0 NA NA NA 188 0 NA NA NA 229 183 NA NA NA 695 792 NA NA NA
1560636000.0 534.0 40 0 NA NA NA 94 0 NA NA NA 273 182 NA NA NA 759 552 NA NA NA
1560636000.0 541.0 43 0 NA NA NA 89 0 NA NA NA 239 170 NA NA NA 741 610 NA NA NA
1560636000.0 545.0 50 0 NA NA NA 91 0 NA NA NA 299 185 NA NA NA 757 792 NA NA NA
1560636000.0 551.0 16 39 0 NA NA 57 85 0 NA NA 1284 257 172 NA NA 1946 667 616 NA NA
1560636000.0 552.0 16 38 0 NA NA 56 86 0 NA NA 1728 234 154 NA NA 4385 619 331 NA NA
1560636000.0 554.0 16 37 0 NA NA 56 85 0 NA NA 2606 219 158 NA NA 4561 497 514 NA NA
1560636000.0 555.0 16 39 0 NA NA 56 84 0 NA NA 1313 206 138 NA NA 2047 454 295 NA NA
1560636000.0 556.0 16 40 0 NA NA 56 86 0 NA NA 650 248 155 NA NA 2796 500 320 NA NA
1560636000.0 560.0 39 0 NA NA NA 80 0 NA NA NA 253 177 NA NA NA 477 607 NA NA NA
1560636000.0 561.0 36 0 NA NA NA 79 0 NA NA NA 213 142 NA NA NA 520 262 NA NA NA
1560636000.0 562.0 16 37 0 NA NA 56 86 0 NA NA 368 242 156 NA NA 2094 537 534 NA NA
1560636000.0 7.0 56 79 176 56 0 113 359 249 102 0 1134 534 605 281 261 1494 1175 881 968 371
1560636000.0 7.1 56 80 176 59 0 113 358 259 104 0 1603 558 681 246 263 1708 1170 864 477 426
1560636000.0 7.4 57 172 242 65 0 114 470 348 113 0 934 1405 997 276 542 1509 2831 1933 502 784
1560636000.0 8.0 NA 84 177 43 0 NA 365 255 87 0 NA 1739 741 167 270 NA 1498 1217 367 596
