Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560636000.0 10824.5 NA 278 100 0 NA NA NA NA NA NA 772 350 0 NA NA NA NA NA NA 3288 827 182 NA NA NA NA NA NA 2926 1559 527 NA NA NA NA NA
1560636000.0 10824.6 NA 323 434 0 100 163 NA NA NA NA 762 928 0 236 359 NA NA NA NA 2292 2808 1827 751 684 NA NA NA NA 1813 2394 1902 870 695 NA NA NA
1560636000.0 10824.7 NA 301 435 0 99 156 NA NA NA NA 765 843 0 237 361 NA NA NA NA 3570 3138 1803 680 790 NA NA NA NA 3436 2667 1847 707 800 NA NA NA
1560636000.0 10824.8 NA 314 439 0 103 157 NA NA NA NA 823 820 0 237 358 NA NA NA NA 2616 3252 1851 641 727 NA NA NA NA 2295 2735 1891 679 748 NA NA NA
1560636000.0 10825.0 NA 303 420 0 94 156 NA NA NA NA 798 885 0 230 356 NA NA NA NA 2319 2436 1829 693 675 NA NA NA NA 1955 2233 1998 754 709 NA NA NA
1560636000.0 10826.0 NA 317 447 0 94 164 NA NA NA NA 832 941 0 236 364 NA NA NA NA 3270 3494 2133 643 784 NA NA NA NA 2859 2713 2174 653 786 NA NA NA
1560636000.0 10842.0 NA 305 420 0 102 157 NA NA NA NA 774 932 0 235 356 NA NA NA NA 2409 2601 1843 641 712 NA NA NA NA 2172 2363 1880 683 734 NA NA NA
1560636000.0 10871.0 NA 295 424 0 94 162 NA NA NA NA 856 942 0 235 358 NA NA NA NA 4503 2734 1958 639 765 NA NA NA NA 2788 2392 2003 686 766 NA NA NA
1560636000.0 109.0 77 116 295 NA NA NA NA NA NA 275 509 713 NA NA NA NA NA NA 6235 1125 3595 NA NA NA NA NA NA 4205 766 3565 NA NA NA NA NA NA
1560636000.0 111.0 79 111 285 NA NA NA NA NA NA 272 514 741 NA NA NA NA NA NA 2423 1424 3083 NA NA NA NA NA NA 2454 1025 3737 NA NA NA NA NA NA
1560636000.0 112.0 84 122 289 NA NA NA NA NA NA 275 507 703 NA NA NA NA NA NA 3796 826 2927 NA NA NA NA NA NA 3025 695 3133 NA NA NA NA NA NA
1560636000.0 11224.0 NA 279 408 0 NA NA NA NA NA NA 752 917 0 NA NA NA NA NA NA 2846 3200 2086 NA NA NA NA NA NA 4607 4361 2807 NA NA NA NA NA
1560636000.0 11224.6 NA 280 409 0 NA NA NA NA NA NA 774 877 0 NA NA NA NA NA NA 2961 3170 2099 NA NA NA NA NA NA 4963 3950 2816 NA NA NA NA NA
1560636000.0 113.0 80 106 275 NA NA NA NA NA NA 278 517 735 NA NA NA NA NA NA 2373 592 2139 NA NA NA NA NA NA 3277 860 4459 NA NA NA NA NA NA
1560636000.0 114.0 94 105 279 NA NA NA NA NA NA 283 557 698 NA NA NA NA NA NA 3864 1159 3413 NA NA NA NA NA NA 3048 1167 4148 NA NA NA NA NA NA
1560636000.0 115.0 81 117 281 NA NA NA NA NA NA 293 505 753 NA NA NA NA NA NA 4776 733 3043 NA NA NA NA NA NA 3725 575 3100 NA NA NA NA NA NA
1560636000.0 116.0 105 120 281 NA NA NA NA NA NA 297 518 699 NA NA NA NA NA NA 5533 1039 3498 NA NA NA NA NA NA 3081 636 3522 NA NA NA NA NA NA
1560636000.0 117.0 94 107 288 NA NA NA NA NA NA 293 559 723 NA NA NA NA NA NA 6015 1351 3490 NA NA NA NA NA NA 3941 907 3499 NA NA NA NA NA NA
1560636000.0 118.0 98 119 292 NA NA NA NA NA NA 297 568 715 NA NA NA NA NA NA 6645 788 3656 NA NA NA NA NA NA 3728 632 3549 NA NA NA NA NA NA
1560636000.0 119.0 82 112 279 NA NA NA NA NA NA 280 514 698 NA NA NA NA NA NA 3322 718 3166 NA NA NA NA NA NA 2636 535 3326 NA NA NA NA NA NA
1560636000.0 12024.0 NA 189 399 0 NA NA NA NA NA NA 641 872 0 NA NA NA NA NA NA 887 2352 935 NA NA NA NA NA NA 534 2123 1292 NA NA NA NA NA
1560636000.0 123.3 238 NA NA NA NA NA NA NA NA 911 NA NA NA NA NA NA NA NA 1383 NA NA NA NA NA NA NA NA 1872 NA NA NA NA NA NA NA NA
1560636000.0 127.0 59 101 270 NA NA NA NA NA NA 206 525 748 NA NA NA NA NA NA 1119 532 2066 NA NA NA NA NA NA 1937 754 4542 NA NA NA NA NA NA
1560636000.0 128.0 62 104 264 NA NA NA NA NA NA 203 532 736 NA NA NA NA NA NA 893 1096 2986 NA NA NA NA NA NA 1366 859 3352 NA NA NA NA NA NA
