Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1560636000.0 1.0 97 82 200 NA NA NA NA NA 182 367 327 NA NA NA NA NA 1663 692 1030 NA NA NA NA NA 1408 760 1393 NA NA NA NA NA
1560636000.0 1000.0 NA 378 159 0 53 NA NA NA NA 523 262 0 90 NA NA NA NA 3040 1382 671 284 NA NA NA NA 3259 1400 815 375 NA NA NA
1560636000.0 10001.0 NA 190 660 90 0 NA NA NA NA 478 818 135 0 NA NA NA NA 1503 2404 396 1928 NA NA NA NA 3124 2429 509 2083 NA NA NA
1560636000.0 10003.0 NA 208 666 53 0 NA NA NA NA 478 836 135 0 NA NA NA NA 1492 2520 536 1953 NA NA NA NA 2349 3899 1749 2036 NA NA NA
1560636000.0 10005.0 NA 192 657 83 0 NA NA NA NA 483 797 134 0 NA NA NA NA 1504 2482 423 1908 NA NA NA NA 2351 2964 742 2187 NA NA NA
1560636000.0 10006.0 NA 186 653 83 0 NA NA NA NA 485 800 134 0 NA NA NA NA 1505 2460 439 1911 NA NA NA NA 3132 4629 825 2171 NA NA NA
1560636000.0 10007.0 NA 190 661 94 0 NA NA NA NA 492 824 145 0 NA NA NA NA 1513 2447 413 1941 NA NA NA NA 2882 2421 507 2157 NA NA NA
1560636000.0 10008.0 NA 189 655 94 0 NA NA NA NA 489 829 145 0 NA NA NA NA 1533 2514 441 1914 NA NA NA NA 2365 2838 653 2237 NA NA NA
1560636000.0 1001.0 NA 365 178 0 0 0 0 0 NA 455 231 0 0 0 0 0 NA 2561 591 74 92 258 124 250 NA 3023 728 153 233 309 185 308
1560636000.0 1002.0 NA 415 64 NA NA NA NA NA NA 516 123 NA NA NA NA NA NA 3069 365 NA NA NA NA NA NA 2292 377 NA NA NA NA NA
1560636000.0 10023.0 NA 190 657 92 0 NA NA NA NA 492 824 133 0 NA NA NA NA 1522 2375 388 1970 NA NA NA NA 3431 2446 491 2246 NA NA NA
1560636000.0 10024.0 NA 226 684 100 0 NA NA NA NA 484 849 146 0 NA NA NA NA 1705 2827 436 2052 NA NA NA NA 1941 4853 620 2219 NA NA NA
1560636000.0 10024.4 NA 218 680 0 NA NA NA NA NA 486 844 0 NA NA NA NA NA 1695 2677 1965 NA NA NA NA NA 3125 2485 2041 NA NA NA NA
1560636000.0 10024.6 NA 214 677 0 NA NA NA NA NA 479 836 0 NA NA NA NA NA 1747 2664 1957 NA NA NA NA NA 3348 2438 2246 NA NA NA NA
1560636000.0 10025.0 NA 231 678 85 0 NA NA NA NA 485 832 135 0 NA NA NA NA 1566 2560 408 1981 NA NA NA NA 2308 3896 606 2104 NA NA NA
1560636000.0 10026.0 NA 223 632 93 0 NA NA NA NA 480 849 146 0 NA NA NA NA 1760 3008 539 1986 NA NA NA NA 1957 4240 1741 2186 NA NA NA
1560636000.0 1003.0 NA 314 0 NA NA NA NA NA NA 430 0 NA NA NA NA NA NA 3244 505 NA NA NA NA NA NA 1835 570 NA NA NA NA NA
1560636000.0 1004.0 NA 308 159 0 0 0 0 NA NA 397 213 0 0 0 0 NA NA 1023 340 77 93 270 274 NA NA 1520 559 210 311 618 394 NA
