Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560805200.0 101.0 79 NA NA NA 170 NA NA NA 947 NA NA NA 1142 NA NA NA
1560805200.0 102.0 79 NA NA NA 170 NA NA NA 859 NA NA NA 1204 NA NA NA
1560805200.0 11224.0 NA 279 409 0 NA 670 680 0 NA 3205 3655 2822 NA 3887 4616 3696
1560805200.0 1325.5 NA 157 0 NA NA 270 0 NA NA 4817 164 NA NA 7322 416 NA
1560805200.0 1329.1 NA 166 0 NA NA 294 0 NA NA 5820 146 NA NA 7104 450 NA
1560805200.0 135.8 137 NA NA NA 238 NA NA NA 614 NA NA NA 1553 NA NA NA
1560805200.0 136.733 NA 159 64 0 NA 294 133 0 NA 2037 635 410 NA 4300 947 887
1560805200.0 136.7611 NA 175 0 NA NA 293 0 NA NA 5468 175 NA NA 7414 693 NA
1560805200.0 136.7721 NA 168 0 NA NA 282 0 NA NA 5176 157 NA NA 6445 583 NA
1560805200.0 136.7801 NA 84 NA NA NA 162 NA NA NA 484 NA NA NA 2128 NA NA
1560805200.0 136.7802 NA 75 0 NA NA 148 0 NA NA 389 225 NA NA 597 799 NA
1560805200.0 136.7803 NA 82 NA NA NA 158 NA NA NA 494 NA NA NA 1582 NA NA
1560805200.0 2017.8 180 NA NA NA 284 NA NA NA 705 NA NA NA 1118 NA NA NA
1560805200.0 4.28 NA 65 308 0 NA 135 648 0 NA 372 3618 4235 NA 680 7707 5670
1560805200.0 505.0 36 0 NA NA 87 0 NA NA 233 157 NA NA 716 274 NA NA
1560805200.0 507.0 36 0 NA NA 87 0 NA NA 247 156 NA NA 626 274 NA NA
1560805200.0 508.0 32 0 NA NA 87 0 NA NA 228 154 NA NA 889 270 NA NA
1560805200.0 517.0 12 36 0 NA 61 95 0 NA 961 261 165 NA 2480 520 644 NA
1560805200.0 520.0 12 32 0 NA 61 95 0 NA 1845 276 159 NA 2075 591 506 NA
1560805200.0 527.0 12 37 0 NA 61 95 0 NA 963 278 160 NA 2357 624 648 NA
1560805200.0 528.0 12 34 0 NA 61 95 0 NA 808 264 157 NA 1632 900 390 NA
1560805200.0 545.0 45 0 NA NA 97 0 NA NA 288 172 NA NA 750 501 NA NA
1560805200.0 552.0 12 36 0 NA 61 95 0 NA 965 277 168 NA 2396 527 913 NA
1560805200.0 554.0 12 37 0 NA 61 96 0 NA 1624 297 166 NA 2598 438 519 NA
