Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560636000.0 27434.21 NA 281 221 161 NA 530 504 269 NA 2534 1952 932 NA 2155 2159 1192
1560636000.0 5.2 248 0 NA NA 776 0 NA NA 1305 392 NA NA 1706 483 NA NA
1560636000.0 503.0 35 0 NA NA 85 0 NA NA 290 143 NA NA 807 390 NA NA
1560636000.0 504.0 37 0 NA NA 84 0 NA NA 243 130 NA NA 657 274 NA NA
1560636000.0 505.0 32 0 NA NA 84 0 NA NA 215 224 NA NA 965 805 NA NA
1560636000.0 506.0 37 0 NA NA 84 0 NA NA 338 271 NA NA 1392 938 NA NA
1560636000.0 507.0 33 0 NA NA 86 0 NA NA 320 132 NA NA 1011 357 NA NA
1560636000.0 508.0 31 0 NA NA 83 0 NA NA 167 132 NA NA 561 320 NA NA
1560636000.0 509.0 35 0 NA NA 83 0 NA NA 235 128 NA NA 833 251 NA NA
1560636000.0 510.0 35 0 NA NA 88 0 NA NA 343 140 NA NA 1051 303 NA NA
1560636000.0 511.0 38 0 NA NA 109 0 NA NA 11051 133 NA NA 17282 301 NA NA
1560636000.0 512.0 14 38 0 NA 61 94 0 NA 2227 220 127 NA 39238 693 228 NA
1560636000.0 513.0 14 37 0 NA 61 95 0 NA 591 216 141 NA 1839 530 742 NA
1560636000.0 514.0 18 34 0 NA 61 95 0 NA 431 233 135 NA 1351 968 260 NA
1560636000.0 515.0 15 33 0 NA 61 94 0 NA 2172 208 128 NA 39561 373 233 NA
1560636000.0 516.0 14 37 0 NA 61 95 0 NA 601 222 151 NA 1415 694 591 NA
1560636000.0 517.0 18 34 0 NA 61 95 0 NA 912 216 154 NA 2255 614 439 NA
1560636000.0 518.0 15 33 0 NA 61 94 0 NA 2221 202 126 NA 39950 318 226 NA
1560636000.0 519.0 15 37 0 NA 61 94 0 NA 613 204 140 NA 1821 305 621 NA
1560636000.0 520.0 15 34 0 NA 61 95 0 NA 924 267 134 NA 1665 888 439 NA
