Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560636000.0 10026.0 NA 170 375 0 82 NA 606 590 0 132 NA 786 2809 1319 493 NA 1130 4092 1640 676
1560636000.0 101.0 85 NA NA NA NA 161 NA NA NA NA 891 NA NA NA NA 2137 NA NA NA NA
1560636000.0 1010.0 NA 30 39 0 NA NA 89 99 0 NA NA 142 237 143 NA NA 1115 575 277 NA
1560636000.0 102.0 88 NA NA NA NA 161 NA NA NA NA 796 NA NA NA NA 1750 NA NA NA NA
1560636000.0 1020.0 NA 83 28 0 71 NA 146 72 0 144 NA 293 138 69 278 NA 627 509 140 717
1560636000.0 103.0 69 182 275 NA NA 154 581 423 NA NA 1133 356 1991 NA NA 1409 468 2585 NA NA
1560636000.0 1040.0 NA 358 28 0 NA NA 564 76 0 NA NA 11560 116 118 NA NA 4851 449 249 NA
1560636000.0 1040.1 NA 81 34 0 NA NA 143 76 0 NA NA 461 137 151 NA NA 844 351 533 NA
1560636000.0 106.0 47 0 0 NA NA 107 0 0 NA NA 467 355 1670 NA NA 851 524 2902 NA NA
1560636000.0 108.0 87 120 283 NA NA 215 583 420 NA NA 3781 593 2259 NA NA 1773 832 2637 NA NA
1560636000.0 109.0 86 159 278 NA NA 215 581 432 NA NA 3614 525 2187 NA NA 2389 488 2661 NA NA
1560636000.0 110.0 63 148 274 NA NA 134 582 420 NA NA 1069 479 1946 NA NA 1245 644 2537 NA NA
1560636000.0 116.0 89 142 280 NA NA 215 585 420 NA NA 3217 570 2104 NA NA 2466 588 2353 NA NA
1560636000.0 120.0 61 159 267 NA NA 131 581 413 NA NA 580 481 1946 NA NA 1013 897 2458 NA NA
1560636000.0 121.0 89 146 282 NA NA 215 583 435 NA NA 3306 559 2158 NA NA 2033 488 2318 NA NA
1560636000.0 122.0 47 0 0 NA NA 107 0 0 NA NA 694 224 1777 NA NA 1250 611 2852 NA NA
1560636000.0 127.0 63 154 272 NA NA 139 584 423 NA NA 1385 453 2012 NA NA 1244 416 2914 NA NA
1560636000.0 1303.0 81 145 201 NA NA 169 588 344 NA NA 6265 487 1845 NA NA 3267 927 1741 NA NA
1560636000.0 131.0 63 175 273 NA NA 137 582 430 NA NA 1556 472 2004 NA NA 1205 399 3299 NA NA
1560636000.0 1311.0 NA 169 309 0 63 NA 607 445 0 122 NA 511 1191 928 366 NA 483 1873 1010 484
1560636000.0 1325.5 NA 177 0 NA NA NA 265 0 NA NA NA 5352 153 NA NA NA 7251 290 NA NA
1560636000.0 1325.51 NA 159 0 NA NA NA 246 0 NA NA NA 2151 169 NA NA NA 3709 594 NA NA
1560636000.0 1325.6 NA 196 NA NA NA NA 306 NA NA NA NA 4554 NA NA NA NA 5045 NA NA NA
1560636000.0 1325.8 NA 201 0 NA NA NA 326 0 NA NA NA 4241 139 NA NA NA 2941 412 NA NA
1560636000.0 1329.1 NA 186 0 NA NA NA 294 0 NA NA NA 6247 141 NA NA NA 7379 319 NA NA
1560636000.0 133.0 93 132 282 NA NA 210 584 429 NA NA 4354 575 2248 NA NA 2479 495 2579 NA NA
1560636000.0 134.813 NA 182 72 0 NA NA 277 122 0 NA NA 837 201 411 NA NA 926 353 785 NA
1560636000.0 135.8 150 NA NA NA NA 273 NA NA NA NA 537 NA NA NA NA 1510 NA NA NA NA
1560636000.0 136.76 NA 77 380 0 NA NA 162 602 0 NA NA 829 17372 900 NA NA 1918 6766 1002 NA
1560636000.0 136.7611 NA 181 0 NA NA NA 279 0 NA NA NA 5863 167 NA NA NA 6761 864 NA NA
1560636000.0 136.7721 NA 166 0 NA NA NA 273 0 NA NA NA 5378 157 NA NA NA 6325 401 NA NA
1560636000.0 136.7722 NA 177 0 NA NA NA 276 0 NA NA NA 6054 161 NA NA NA 7290 664 NA NA
1560636000.0 136.7801 NA 107 0 NA NA NA 183 0 NA NA NA 479 273 NA NA NA 1162 916 NA NA
1560636000.0 136.7802 NA 79 0 NA NA NA 136 0 NA NA NA 315 172 NA NA NA 689 822 NA NA
1560636000.0 136.7803 NA 104 0 NA NA NA 198 0 NA NA NA 615 243 NA NA NA 2094 847 NA NA
1560636000.0 136.87 NA 225 362 0 NA NA 374 532 0 NA NA 2413 4048 1627 NA NA 2992 4495 1893 NA
1560636000.0 2017.3 309 0 129 NA NA 739 0 204 NA NA 1229 295 1021 NA NA 2802 491 1570 NA NA
1560636000.0 2017.4 356 0 123 NA NA 729 0 214 NA NA 1212 323 1029 NA NA 1305 408 2187 NA NA
1560636000.0 2017.8 196 NA NA NA NA 308 NA NA NA NA 575 NA NA NA NA 1001 NA NA NA NA
1560636000.0 2018.8 196 NA NA NA NA 326 NA NA NA NA 579 NA NA NA NA 821 NA NA NA NA
1560636000.0 25.0 NA 122 302 0 76 NA 590 487 0 136 NA 2645 4793 642 298 NA 3090 4720 746 642
1560636000.0 250405.17 402 0 132 NA NA 789 0 211 NA NA 1675 326 1105 NA NA 1474 410 1215 NA NA
1560636000.0 4.22 NA 167 72 78 0 NA 281 125 145 0 NA 953 282 393 266 NA 1548 775 715 479
1560636000.0 4.28 NA 80 289 0 NA NA 144 425 0 NA NA 344 3285 2850 NA NA 1149 5333 3160 NA
1560636000.0 4.29 NA 35 295 0 162 NA 98 441 0 299 NA 315 3859 727 1384 NA 812 4822 1045 1437
1560636000.0 4006.0 62 171 350 NA NA 144 602 497 NA NA 1271 892 2614 NA NA 1248 850 2983 NA NA
1560636000.0 4007.0 60 166 287 NA NA 134 598 461 NA NA 1142 464 1983 NA NA 1146 782 2468 NA NA
1560636000.0 4008.0 58 183 299 NA NA 131 552 447 NA NA 642 624 2087 NA NA 1308 558 2571 NA NA
1560636000.0 500206.0 NA 201 333 0 NA NA 618 486 0 NA NA 7222 2935 635 NA NA 4485 3364 742 NA
1560636000.0 503.0 45 0 NA NA NA 86 0 NA NA NA 226 150 NA NA NA 479 448 NA NA NA
