Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560762000.0 10.0 NA 141 304 0 NA NA NA NA 468 585 0 NA NA NA NA 2592 5871 580 NA NA NA NA 984 3858 625 NA NA NA
1560762000.0 1000.0 NA 328 187 0 57 NA NA NA 634 281 0 103 NA NA NA 2617 1165 662 259 NA NA NA 1518 1179 732 324 NA NA
1560762000.0 10001.0 NA 179 377 0 73 NA NA NA 541 605 0 128 NA NA NA 1170 2937 1503 327 NA NA NA 671 2970 1566 337 NA NA
1560762000.0 10002.0 NA 180 380 0 72 NA NA NA 520 707 0 128 NA NA NA 1211 2584 1417 269 NA NA NA 680 3179 1623 355 NA NA
1560762000.0 10005.0 NA 188 381 0 82 NA NA NA 527 639 0 126 NA NA NA 911 1716 844 223 NA NA NA 586 1760 898 324 NA NA
1560762000.0 10006.0 NA 182 364 0 73 NA NA NA 519 608 0 124 NA NA NA 1228 3261 1529 329 NA NA NA 937 3578 1612 343 NA NA
1560762000.0 10008.0 NA 181 370 0 73 NA NA NA 488 617 0 133 NA NA NA 1195 3488 1472 272 NA NA NA 680 3542 1544 344 NA NA
1560762000.0 10009.0 NA 190 372 0 82 NA NA NA 488 715 0 127 NA NA NA 1346 2343 1158 274 NA NA NA 603 2191 1229 343 NA NA
1560762000.0 1001.2 NA 389 133 0 NA NA NA NA 675 209 0 NA NA NA NA 21932 2136 107 NA NA NA NA 7475 1270 136 NA NA NA
1560762000.0 1002.0 NA 322 92 NA NA NA NA NA 657 135 NA NA NA NA NA 2796 340 NA NA NA NA NA 1909 227 NA NA NA NA
1560762000.0 10023.0 NA 187 366 0 73 NA NA NA 487 652 0 134 NA NA NA 1363 2708 1412 416 NA NA NA 637 2951 1473 737 NA NA
1560762000.0 10024.0 NA 193 393 0 76 NA NA NA 537 706 0 137 NA NA NA 871 2260 908 299 NA NA NA 453 2240 969 316 NA NA
1560762000.0 10024.1 NA 191 203 0 NA NA NA NA 503 327 0 NA NA NA NA 1062 713 300 NA NA NA NA 491 715 338 NA NA NA
1560762000.0 10024.2 NA 190 400 0 NA NA NA NA 516 694 0 NA NA NA NA 903 1958 836 NA NA NA NA 508 1747 883 NA NA NA
1560762000.0 10024.3 NA 189 201 0 NA NA NA NA 506 322 0 NA NA NA NA 884 710 272 NA NA NA NA 464 729 312 NA NA NA
1560762000.0 10024.4 NA 190 393 0 NA NA NA NA 490 717 0 NA NA NA NA 911 2107 835 NA NA NA NA 470 1948 873 NA NA NA
1560762000.0 10024.5 NA 193 92 0 NA NA NA NA 512 232 0 NA NA NA NA 872 547 114 NA NA NA NA 470 857 150 NA NA NA
1560762000.0 1003.0 NA 264 0 NA NA NA NA NA 528 0 NA NA NA NA NA 3320 585 NA NA NA NA NA 1840 700 NA NA NA NA
1560762000.0 10071.0 NA 188 395 0 77 NA NA NA 534 617 0 135 NA NA NA 1258 3284 1477 379 NA NA NA 680 3241 1544 434 NA NA
1560762000.0 1010.0 NA 35 45 0 NA NA NA NA 89 101 0 NA NA NA NA 184 348 140 NA NA NA NA 250 300 196 NA NA NA
1560762000.0 1020.0 NA 56 30 0 47 NA NA NA 144 70 0 142 NA NA NA 284 140 124 245 NA NA NA 373 179 205 374 NA NA
1560762000.0 10224.0 NA 359 602 0 NA NA NA NA 744 904 0 NA NA NA NA 3152 3887 876 NA NA NA NA 1284 2585 916 NA NA NA
1560762000.0 1030.0 NA 181 49 0 0 NA NA NA 338 107 0 0 NA NA NA 10670 356 164 79 NA NA NA 3745 342 190 311 NA NA
1560762000.0 1040.0 NA 317 NA NA NA NA NA NA 638 NA NA NA NA NA NA 1525 NA NA NA NA NA NA 1398 NA NA NA NA NA
1560762000.0 1040.1 NA 68 33 0 NA NA NA NA 145 73 0 NA NA NA NA 409 125 103 NA NA NA NA 400 178 148 NA NA NA
1560762000.0 10424.0 NA 176 379 0 NA NA NA NA 474 673 0 NA NA NA NA 1902 3826 1003 NA NA NA NA 1133 3622 1047 NA NA NA
