Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560636000.0 1.0 72 109 180 NA NA NA 196 585 338 NA NA NA 3264 523 1492 NA NA NA 5222 987 3486 NA NA NA
1560636000.0 10024.3 NA 169 183 0 NA NA NA 606 332 0 NA NA NA 847 912 386 NA NA NA 1282 2228 1126 NA NA
1560636000.0 101.0 92 NA NA NA NA NA 161 NA NA NA NA NA 921 NA NA NA NA NA 2196 NA NA NA NA NA
1560636000.0 1010.0 NA 31 39 0 NA NA NA 84 99 0 NA NA NA 211 232 186 NA NA NA 1075 793 802 NA NA
1560636000.0 102.0 95 NA NA NA NA NA 161 NA NA NA NA NA 726 NA NA NA NA NA 1592 NA NA NA NA NA
1560636000.0 1020.0 NA 70 27 0 73 NA NA 142 72 0 144 NA NA 303 154 104 280 NA NA 974 757 502 855 NA
1560636000.0 1040.1 NA 82 35 0 NA NA NA 143 77 0 NA NA NA 436 136 117 NA NA NA 1427 439 312 NA NA
1560636000.0 106.0 46 0 0 NA NA NA 107 0 0 NA NA NA 465 290 1684 NA NA NA 1197 544 2729 NA NA NA
1560636000.0 10801.0 NA 247 363 0 93 145 NA 686 607 0 146 224 NA 1903 2339 1984 427 1112 NA 2294 3228 3048 797 1396
1560636000.0 10803.0 NA 263 385 0 85 149 NA 672 597 0 142 234 NA 2118 2610 2055 928 1128 NA 4894 6342 3108 1607 1781
1560636000.0 10807.0 NA 260 380 0 94 137 NA 636 590 0 155 212 NA 2185 2587 2078 542 1204 NA 4106 6665 3180 1597 1965
1560636000.0 10809.0 NA 271 382 0 94 153 NA 632 597 0 160 232 NA 2142 2672 2070 560 1134 NA 2606 6495 2982 1900 1723
1560636000.0 10824.5 NA 283 157 0 NA NA NA 633 240 0 NA NA NA 1986 616 156 NA NA NA 2534 1489 438 NA NA
1560636000.0 12024.0 71 170 365 0 NA NA 133 601 558 0 NA NA 3737 988 2531 1174 NA NA 4303 2470 5260 2330 NA NA
1560636000.0 123.1 276 NA NA NA NA NA 687 NA NA NA NA NA 1260 NA NA NA NA NA 2175 NA NA NA NA NA
1560636000.0 123.2 314 NA NA NA NA NA 690 NA NA NA NA NA 1304 NA NA NA NA NA 2531 NA NA NA NA NA
1560636000.0 123.3 230 NA NA NA NA NA 685 NA NA NA NA NA 1092 NA NA NA NA NA 2260 NA NA NA NA NA
1560636000.0 124.1 290 NA NA NA NA NA 686 NA NA NA NA NA 1119 NA NA NA NA NA 2441 NA NA NA NA NA
1560636000.0 124.2 310 NA NA NA NA NA 689 NA NA NA NA NA 1179 NA NA NA NA NA 2273 NA NA NA NA NA
1560636000.0 124.4 288 NA NA NA NA NA 688 NA NA NA NA NA 1121 NA NA NA NA NA 2093 NA NA NA NA NA
1560636000.0 124.5 293 NA NA NA NA NA 685 NA NA NA NA NA 1116 NA NA NA NA NA 2628 NA NA NA NA NA
1560636000.0 124.6 228 NA NA NA NA NA 685 NA NA NA NA NA 1124 NA NA NA NA NA 2410 NA NA NA NA NA
