Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560718800.0 1.0 77 91 196 NA 193 582 320 NA 1184 556 1221 NA 1098 2536 1414 NA
1560718800.0 1001.2 NA 380 146 0 NA 597 205 0 NA 13406 1764 114 NA 6953 1359 245
1560718800.0 1002.0 NA 309 84 NA NA 446 132 NA NA 3393 398 NA NA 3207 426 NA
1560718800.0 10024.2 NA 164 376 0 NA 564 564 0 NA 830 2359 1260 NA 1043 3899 1462
1560718800.0 10024.4 NA 170 388 0 NA 607 575 0 NA 820 2332 1273 NA 1449 4289 1560
1560718800.0 1003.0 NA 260 0 NA NA 393 0 NA NA 2793 574 NA NA 2219 897 NA
1560718800.0 101.0 91 NA NA NA 161 NA NA NA 830 NA NA NA 1777 NA NA NA
1560718800.0 102.0 101 NA NA NA 161 NA NA NA 700 NA NA NA 845 NA NA NA
1560718800.0 103.0 67 109 276 NA 154 583 403 NA 1189 424 1794 NA 906 539 4214 NA
1560718800.0 1040.1 NA 90 38 0 NA 146 77 0 NA 444 122 117 NA 625 585 217
1560718800.0 10424.0 NA 160 363 0 NA 518 548 0 NA 857 2340 1317 NA 1250 2998 1944
1560718800.0 106.0 50 0 0 NA 108 0 0 NA 757 339 1544 NA 957 560 2230 NA
1560718800.0 10824.5 NA 309 159 0 NA 680 243 0 NA 2112 677 167 NA 1930 1367 601
1560718800.0 109.0 96 111 285 NA 219 583 435 NA 2523 694 1883 NA 1286 448 1941 NA
1560718800.0 110.0 67 97 297 NA 139 583 430 NA 843 656 1761 NA 1037 538 3786 NA
1560718800.0 11224.0 NA 264 394 0 NA 688 614 0 NA 1929 2505 2118 NA 2200 3330 2500
1560718800.0 11224.6 NA 264 395 0 NA 558 604 0 NA 1920 2540 2083 NA 2197 3939 2495
1560718800.0 114.0 106 94 285 NA 208 584 421 NA 2224 613 1860 NA 1296 562 3648 NA
1560718800.0 115.0 92 108 278 NA 212 583 423 NA 2190 664 1820 NA 1413 450 1868 NA
1560718800.0 116.0 97 109 281 NA 220 584 432 NA 2488 608 1942 NA 1223 449 4854 NA
1560718800.0 117.0 98 109 296 NA 219 585 420 NA 2571 687 1919 NA 1853 555 1963 NA
1560718800.0 119.0 88 102 276 NA 209 580 424 NA 2118 582 1846 NA 1441 557 2248 NA
1560718800.0 121.0 111 109 284 NA 216 583 418 NA 2923 665 2034 NA 1392 560 4241 NA
1560718800.0 122.0 58 0 0 NA 107 0 0 NA 479 318 1594 NA 918 356 2493 NA
1560718800.0 123.1 284 NA NA NA 640 NA NA NA 1225 NA NA NA 1843 NA NA NA
1560718800.0 123.2 321 NA NA NA 685 NA NA NA 1153 NA NA NA 1186 NA NA NA
1560718800.0 123.3 229 NA NA NA 637 NA NA NA 981 NA NA NA 1818 NA NA NA
1560718800.0 124.1 289 NA NA NA 685 NA NA NA 1041 NA NA NA 1334 NA NA NA
1560718800.0 124.2 313 NA NA NA 685 NA NA NA 1128 NA NA NA 1975 NA NA NA
1560718800.0 124.4 266 NA NA NA 683 NA NA NA 1053 NA NA NA 1554 NA NA NA
1560718800.0 124.5 293 NA NA NA 684 NA NA NA 1034 NA NA NA 1801 NA NA NA
1560718800.0 124.6 231 NA NA NA 683 NA NA NA 1046 NA NA NA 1215 NA NA NA
1560718800.0 126.0 67 101 274 NA 141 583 418 NA 1076 580 1815 NA 1143 487 2074 NA
1560718800.0 128.0 69 99 265 NA 138 583 415 NA 726 572 1768 NA 1031 775 3233 NA
1560718800.0 129.0 70 105 275 NA 137 584 412 NA 770 487 1804 NA 842 391 3140 NA
