Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560848400.0 10009.0 NA 158 353 0 70 NA 607 549 0 135 NA 707 2199 1285 282 NA 803 3590 1538 742
1560848400.0 1002.0 NA 298 81 NA NA NA 445 133 NA NA NA 3308 379 NA NA NA 3580 419 NA NA
1560848400.0 10024.1 NA 165 186 0 NA NA 607 335 0 NA NA 750 848 369 NA NA 674 1531 597 NA
1560848400.0 10024.3 NA 166 186 0 NA NA 607 330 0 NA NA 766 809 328 NA NA 880 1601 551 NA
1560848400.0 10024.5 NA 166 152 0 NA NA 609 238 0 NA NA 755 516 153 NA NA 764 1154 471 NA
1560848400.0 1003.0 NA 255 0 NA NA NA 389 0 NA NA NA 2897 639 NA NA NA 2444 1117 NA NA
1560848400.0 101.0 88 NA NA NA NA 160 NA NA NA NA 875 NA NA NA NA 1267 NA NA NA NA
1560848400.0 1010.0 NA 26 39 0 NA NA 87 100 0 NA NA 125 187 149 NA NA 375 378 398 NA
1560848400.0 102.0 97 NA NA NA NA 160 NA NA NA NA 746 NA NA NA NA 1015 NA NA NA NA
1560848400.0 1040.1 NA 78 33 0 NA NA 143 75 0 NA NA 421 139 129 NA NA 697 445 330 NA
1560848400.0 105.0 73 150 31 NA NA 191 581 77 NA NA 2389 493 118 NA NA 1970 596 260 NA NA
1560848400.0 106.0 48 0 0 NA NA 107 0 0 NA NA 2648 261 1791 NA NA 4877 640 3625 NA NA
1560848400.0 123.1 308 NA NA NA NA 696 NA NA NA NA 1161 NA NA NA NA 1397 NA NA NA NA
1560848400.0 123.2 304 NA NA NA NA 689 NA NA NA NA 1169 NA NA NA NA 1737 NA NA NA NA
1560848400.0 123.3 224 NA NA NA NA 681 NA NA NA NA 952 NA NA NA NA 1288 NA NA NA NA
1560848400.0 124.1 289 NA NA NA NA 683 NA NA NA NA 988 NA NA NA NA 1624 NA NA NA NA
1560848400.0 124.2 305 NA NA NA NA 722 NA NA NA NA 1064 NA NA NA NA 1458 NA NA NA NA
1560848400.0 124.4 285 NA NA NA NA 726 NA NA NA NA 976 NA NA NA NA 1321 NA NA NA NA
1560848400.0 124.5 283 NA NA NA NA 696 NA NA NA NA 1024 NA NA NA NA 1544 NA NA NA NA
1560848400.0 124.6 224 NA NA NA NA 680 NA NA NA NA 993 NA NA NA NA 1544 NA NA NA NA
1560848400.0 1301.0 84 167 187 NA NA 166 588 351 NA NA 1578 513 1446 NA NA 1724 1368 2310 NA NA
1560848400.0 1325.1 NA 142 162 0 NA NA 605 268 0 NA NA 587 728 312 NA NA 938 994 434 NA
1560848400.0 1325.3 NA 151 165 0 NA NA 606 286 0 NA NA 585 721 305 NA NA 923 1297 431 NA
