Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1560762000.0 1325.5 NA 166 0 NA 270 0 NA 5241 230 NA 8542 1540
1560762000.0 1325.6 NA 208 NA NA 327 NA NA 6175 NA NA 6438 NA
1560762000.0 1325.7 NA 198 0 NA 327 0 NA 5038 177 NA 5792 600
1560762000.0 136.7611 NA 173 0 NA 286 0 NA 5759 217 NA 7985 1064
1560762000.0 136.7722 NA 177 0 NA 302 0 NA 6034 237 NA 7899 1345
1560762000.0 513.0 20 46 0 67 94 0 818 251 194 2412 758 875
1560762000.0 519.0 21 42 0 67 94 0 831 268 215 2184 1181 821
1560762000.0 521.0 20 44 0 68 94 0 809 261 197 2616 812 683
1560762000.0 528.0 22 40 0 68 93 0 825 275 212 2117 992 948
