Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560805200.0 10024.1 NA 164 187 0 NA 518 328 0 NA 782 827 399 NA 711 1103 818
1560805200.0 10024.3 NA 164 178 0 NA 607 322 0 NA 804 816 320 NA 778 1060 456
1560805200.0 10024.5 NA 168 146 0 NA 608 231 0 NA 787 528 158 NA 623 1167 323
1560805200.0 1003.0 NA 255 0 NA NA 378 0 NA NA 2996 675 NA NA 2074 919 NA
1560805200.0 101.0 97 NA NA NA 160 NA NA NA 893 NA NA NA 1488 NA NA NA
1560805200.0 1010.0 NA 31 39 0 NA 89 98 0 NA 141 206 174 NA 421 270 397
1560805200.0 102.0 88 NA NA NA 160 NA NA NA 769 NA NA NA 1347 NA NA NA
1560805200.0 103.0 62 147 269 NA 151 585 391 NA 1644 448 2018 NA 1377 1183 3286 NA
1560805200.0 1040.1 NA 80 33 0 NA 143 75 0 NA 446 138 128 NA 1173 331 296
1560805200.0 105.0 72 94 35 NA 191 584 78 NA 1944 478 111 NA 1556 661 185 NA
1560805200.0 106.0 47 0 0 NA 107 0 0 NA 1089 238 1814 NA 1314 787 2830 NA
1560805200.0 110.0 62 154 276 NA 136 583 415 NA 1030 490 2045 NA 933 492 3314 NA
1560805200.0 111.0 77 122 272 NA 186 538 435 NA 1733 694 2071 NA 1521 1047 3456 NA
1560805200.0 116.0 91 126 282 NA 215 584 431 NA 3123 558 2244 NA 1694 472 2952 NA
1560805200.0 122.0 47 0 0 NA 104 0 0 NA 1368 264 1881 NA 2743 987 6481 NA
1560805200.0 123.1 304 NA NA NA 687 NA NA NA 1192 NA NA NA 1829 NA NA NA
1560805200.0 123.2 317 NA NA NA 641 NA NA NA 1212 NA NA NA 1282 NA NA NA
1560805200.0 123.3 222 NA NA NA 727 NA NA NA 1100 NA NA NA 2097 NA NA NA
1560805200.0 124.1 281 NA NA NA 687 NA NA NA 1004 NA NA NA 1425 NA NA NA
1560805200.0 124.2 312 NA NA NA 681 NA NA NA 1107 NA NA NA 1773 NA NA NA
1560805200.0 124.4 288 NA NA NA 685 NA NA NA 1037 NA NA NA 1838 NA NA NA
1560805200.0 124.5 291 NA NA NA 721 NA NA NA 1037 NA NA NA 1457 NA NA NA
1560805200.0 124.6 223 NA NA NA 684 NA NA NA 1062 NA NA NA 2313 NA NA NA
1560805200.0 128.0 60 124 271 NA 133 582 432 NA 770 483 2062 NA 1233 758 3169 NA
1560805200.0 129.0 62 158 269 NA 135 582 403 NA 1219 497 2025 NA 1586 860 3328 NA
1560805200.0 132.0 83 122 278 NA 201 581 428 NA 2885 559 2179 NA 2107 1404 2676 NA
1560805200.0 1325.1 NA 138 163 0 NA 606 265 0 NA 594 770 315 NA 923 1197 450
1560805200.0 1325.3 NA 160 168 0 NA 607 267 0 NA 587 769 307 NA 685 1162 448
1560805200.0 1325.5 NA 166 0 NA NA 274 0 NA NA 4959 225 NA NA 10379 1613 NA
1560805200.0 1325.51 NA 152 0 NA NA 246 0 NA NA 2405 298 NA NA 12678 3085 NA
1560805200.0 1325.6 NA 191 NA NA NA 327 NA NA NA 6176 NA NA NA 14233 NA NA
1560805200.0 1325.7 NA 197 0 NA NA 319 0 NA NA 5854 206 NA NA 10926 980 NA
1560805200.0 1325.8 NA 194 0 NA NA 313 0 NA NA 5822 213 NA NA 13684 901 NA
1560805200.0 1329.1 NA 179 0 NA NA 330 0 NA NA 6173 219 NA NA 11470 1795 NA
1560805200.0 134.813 NA 153 59 0 NA 270 121 0 NA 963 226 410 NA 2218 583 565
1560805200.0 135.13 324 0 NA NA 690 0 NA NA 1139 320 NA NA 1596 633 NA NA
1560805200.0 135.8 145 NA NA NA 265 NA NA NA 532 NA NA NA 1290 NA NA NA
1560805200.0 136.733 NA 185 65 0 NA 311 125 0 NA 1154 247 462 NA 1362 485 1037
1560805200.0 136.75 NA 84 370 0 NA 158 610 0 NA 691 14482 903 NA 1793 14431 2614
1560805200.0 136.7611 NA 175 0 NA NA 288 0 NA NA 5477 204 NA NA 10358 1012 NA
1560805200.0 136.7721 NA 172 0 NA NA 275 0 NA NA 5160 215 NA NA 10058 1672 NA
1560805200.0 136.7722 NA 165 0 NA NA 298 0 NA NA 5720 240 NA NA 10653 1883 NA
1560805200.0 136.775 NA 78 359 0 NA 153 539 0 NA 685 11502 1080 NA 1067 7274 1733
1560805200.0 136.7801 NA 108 0 NA NA 189 0 NA NA 484 268 NA NA 1430 415 NA
1560805200.0 136.7802 NA 72 0 NA NA 146 0 NA NA 318 177 NA NA 757 315 NA
1560805200.0 136.7803 NA 105 0 NA NA 185 0 NA NA 601 235 NA NA 1014 421 NA
1560805200.0 136.789 NA 101 414 0 NA 180 744 0 NA 672 15719 1360 NA 1250 6606 1943
1560805200.0 136.7952 NA 195 0 NA NA 298 0 NA NA 3910 144 NA NA 2840 292 NA
1560805200.0 136.809 NA 106 414 0 NA 190 663 0 NA 840 14551 1463 NA 1086 6504 1881
1560805200.0 136.81 NA 105 408 0 NA 179 723 0 NA 676 13846 1457 NA 1071 6709 1643
1560805200.0 136.8311 NA 169 0 NA NA 293 0 NA NA 2801 284 NA NA 7438 2666 NA
1560805200.0 136.841 NA 109 437 0 NA 190 818 0 NA 693 16968 1532 NA 1325 8458 1805
1560805200.0 136.8521 NA 190 0 NA NA 302 0 NA NA 4327 227 NA NA 7309 1258 NA
1560805200.0 136.8642 NA 260 492 0 NA 417 817 0 NA 4723 23803 1844 NA 4801 9743 2382
1560805200.0 136.8643 NA 256 495 0 NA 433 823 0 NA 4705 23824 1911 NA 4784 9384 2755
1560805200.0 140.51 NA 65 213 0 NA 148 340 0 NA 502 1768 368 NA 680 1962 731
1560805200.0 140.53 NA 302 0 NA NA 441 0 NA NA 3163 394 NA NA 1997 641 NA
1560805200.0 140.54 NA 245 0 NA NA 411 0 NA NA 1465 539 NA NA 2037 759 NA
1560805200.0 150.2 NA 182 259 0 NA 607 410 0 NA 553 967 502 NA 612 1237 721
1560805200.0 150.3 NA 188 259 0 NA 609 429 0 NA 547 822 517 NA 850 1215 707
1560805200.0 2017.1 370 0 126 NA 767 0 206 NA 1346 342 1078 NA 2020 463 1447 NA
1560805200.0 2017.13 376 0 NA NA 684 0 NA NA 1314 397 NA NA 2551 561 NA NA
1560805200.0 2017.8 189 NA NA NA 303 NA NA NA 509 NA NA NA 571 NA NA NA
1560805200.0 2017.9 345 0 125 NA 725 0 208 NA 1163 343 1026 NA 1911 736 1637 NA
1560805200.0 2018.1 373 0 130 NA 724 0 205 NA 1281 348 1018 NA 1426 505 1361 NA
