Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560636000.0 10.0 NA 135 299 0 NA NA NA NA 604 596 0 NA NA NA NA 2365 3597 637 NA NA NA NA 1566 2368 713 NA NA NA
1560636000.0 10007.0 NA 172 356 0 67 NA NA NA 570 599 0 122 NA NA NA 801 1930 1081 298 NA NA NA 1225 3036 1268 594 NA NA
1560636000.0 10024.1 NA 183 182 0 NA NA NA NA 572 333 0 NA NA NA NA 868 902 381 NA NA NA NA 943 1536 520 NA NA NA
1560636000.0 1004.0 NA 217 98 0 0 0 0 NA 335 163 0 0 0 0 NA 1015 381 89 138 287 289 NA 2515 642 203 330 418 377
1560636000.0 101.0 88 NA NA NA NA NA NA 161 NA NA NA NA NA NA 914 NA NA NA NA NA NA 1715 NA NA NA NA NA NA
1560636000.0 1010.0 NA 26 40 0 NA NA NA NA 89 99 0 NA NA NA NA 144 235 156 NA NA NA NA 405 451 317 NA NA NA
1560636000.0 102.0 93 NA NA NA NA NA NA 161 NA NA NA NA NA NA 799 NA NA NA NA NA NA 1223 NA NA NA NA NA NA
1560636000.0 1020.0 NA 67 23 0 70 NA NA NA 140 72 0 148 NA NA NA 278 129 86 293 NA NA NA 757 447 219 680 NA NA
1560636000.0 1040.1 NA 62 27 0 NA NA NA NA 126 76 0 NA NA NA NA 639 150 142 NA NA NA NA 1316 385 411 NA NA NA
1560636000.0 10801.0 NA 257 384 0 93 144 NA NA 657 586 0 141 245 NA NA 2162 2174 1985 478 843 NA NA 3511 2845 2415 776 1230 NA
1560636000.0 10803.0 NA 260 385 0 94 155 NA NA 718 650 0 148 255 NA NA 2156 2233 2002 500 886 NA NA 3121 2528 2251 1051 1540 NA
1560636000.0 10807.0 NA 260 384 0 91 140 NA NA 696 688 0 156 212 NA NA 2173 2226 2014 490 827 NA NA 4127 2810 2233 718 1222 NA
1560636000.0 10809.0 NA 263 389 0 93 162 NA NA 700 616 0 160 253 NA NA 2186 2236 2004 530 861 NA NA 3401 2571 2335 1330 1453 NA
1560636000.0 10824.5 NA 288 161 0 NA NA NA NA 687 257 0 NA NA NA NA 2220 762 186 NA NA NA NA 3243 3315 717 NA NA NA
1560636000.0 10824.7 NA 297 400 0 93 160 NA NA 698 641 0 164 266 NA NA 2433 2518 2050 512 878 NA NA 3405 2876 2286 1105 1434 NA
1560636000.0 10842.0 NA 267 389 0 94 157 NA NA 700 626 0 151 242 NA NA 2190 2306 2046 519 839 NA NA 2566 3317 2314 968 1138 NA
1560636000.0 112.0 86 118 283 NA NA NA NA 205 551 562 NA NA NA NA 2022 538 1740 NA NA NA NA 2015 791 3414 NA NA NA NA
1560636000.0 11626.0 75 188 382 0 68 NA NA 139 614 673 0 133 NA NA 5719 916 2549 1113 491 NA NA 3158 1514 3521 1605 715 NA NA
1560636000.0 122.0 48 0 0 NA NA NA NA 105 0 0 NA NA NA NA 882 244 1413 NA NA NA NA 1250 508 2238 NA NA NA NA
1560636000.0 124.1 308 NA NA NA NA NA NA 735 NA NA NA NA NA NA 1222 NA NA NA NA NA NA 1828 NA NA NA NA NA NA
1560636000.0 124.2 309 NA NA NA NA NA NA 733 NA NA NA NA NA NA 1312 NA NA NA NA NA NA 1780 NA NA NA NA NA NA
1560636000.0 128.0 62 110 272 NA NA NA NA 135 595 517 NA NA NA NA 2304 562 1674 NA NA NA NA 2792 3222 2447 NA NA NA NA
1560636000.0 1324.0 NA 145 348 0 NA NA NA NA 619 563 0 NA NA NA NA 592 2016 678 NA NA NA NA 1429 3445 827 NA NA NA
1560636000.0 1325.5 NA 169 0 NA NA NA NA NA 290 0 NA NA NA NA NA 4682 174 NA NA NA NA NA 6753 1061 NA NA NA NA
1560636000.0 1325.51 NA 160 0 NA NA NA NA NA 262 0 NA NA NA NA NA 1792 189 NA NA NA NA NA 2990 448 NA NA NA NA
1560636000.0 1325.6 NA 180 NA NA NA NA NA NA 288 NA NA NA NA NA NA 4449 NA NA NA NA NA NA 5608 NA NA NA NA NA
