Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560636000.0 135.3 266 0 132 NA NA NA NA 685 0 213 NA NA NA NA 1337 253 915 NA NA NA NA 2384 593 1521 NA NA NA NA
1560636000.0 135.4 342 0 129 NA NA NA NA 692 0 210 NA NA NA NA 960 242 933 NA NA NA NA 1261 351 1244 NA NA NA NA
1560636000.0 135.7 326 0 125 NA NA NA NA 687 0 221 NA NA NA NA 1180 325 1024 NA NA NA NA 1687 696 1535 NA NA NA NA
1560636000.0 135.8 147 NA NA NA NA NA NA 266 NA NA NA NA NA NA 474 NA NA NA NA NA NA 1041 NA NA NA NA NA NA
1560636000.0 135.9 325 0 124 NA NA NA NA 689 0 207 NA NA NA NA 1210 310 1037 NA NA NA NA 4688 498 2901 NA NA NA NA
1560636000.0 136.733 NA 175 67 0 NA NA NA NA 307 128 0 NA NA NA NA 1224 500 332 NA NA NA NA 1802 630 619 NA NA NA
1560636000.0 136.7611 NA 189 0 NA NA NA NA NA 287 0 NA NA NA NA NA 5434 162 NA NA NA NA NA 7402 1165 NA NA NA NA
1560636000.0 136.7721 NA 183 0 NA NA NA NA NA 293 0 NA NA NA NA NA 5130 153 NA NA NA NA NA 6894 635 NA NA NA NA
1560636000.0 136.7722 NA 158 0 NA NA NA NA NA 266 0 NA NA NA NA NA 1912 169 NA NA NA NA NA 2897 566 NA NA NA NA
1560636000.0 136.7801 NA 105 0 NA NA NA NA NA 189 0 NA NA NA NA NA 469 303 NA NA NA NA NA 936 804 NA NA NA NA
1560636000.0 136.7802 NA 73 0 NA NA NA NA NA 139 0 NA NA NA NA NA 319 203 NA NA NA NA NA 452 619 NA NA NA NA
1560636000.0 136.7803 NA 104 0 NA NA NA NA NA 198 0 NA NA NA NA NA 820 258 NA NA NA NA NA 1804 722 NA NA NA NA
1560636000.0 136.8311 NA 188 0 NA NA NA NA NA 289 0 NA NA NA NA NA 2309 138 NA NA NA NA NA 1744 282 NA NA NA NA
1560636000.0 136.841 NA 114 461 0 NA NA NA NA 176 680 0 NA NA NA NA 528 15594 1022 NA NA NA NA 601 5826 1112 NA NA NA
1560636000.0 144.6 NA 299 NA NA NA NA NA NA 438 NA NA NA NA NA NA 2989 NA NA NA NA NA NA 3293 NA NA NA NA NA
1560636000.0 2017.11 376 0 137 NA NA NA NA 684 0 218 NA NA NA NA 1790 480 1114 NA NA NA NA 1384 989 1961 NA NA NA NA
1560636000.0 2017.3 317 0 132 NA NA NA NA 724 0 212 NA NA NA NA 1012 270 941 NA NA NA NA 1161 392 1667 NA NA NA NA
1560636000.0 2017.7 383 0 131 NA NA NA NA 766 0 211 NA NA NA NA 1036 294 925 NA NA NA NA 1107 556 1382 NA NA NA NA
1560636000.0 2017.8 189 NA NA NA NA NA NA 302 NA NA NA NA NA NA 594 NA NA NA NA NA NA 1197 NA NA NA NA NA NA
1560636000.0 25.0 NA 136 330 0 82 NA NA NA 595 485 0 137 NA NA NA 2434 4419 589 462 NA NA NA 1499 4366 757 806 NA NA
1560636000.0 250200.1 93 319 248 NA NA NA NA 168 637 369 NA NA NA NA 1919 1886 2229 NA NA NA NA 1791 1287 2203 NA NA NA NA
1560636000.0 250402.0 350 0 137 NA NA NA NA 699 0 216 NA NA NA NA 1773 245 1015 NA NA NA NA 1808 350 1324 NA NA NA NA
1560636000.0 250402.17 439 0 141 NA NA NA NA 782 0 219 NA NA NA NA 1526 311 1216 NA NA NA NA 1352 450 2168 NA NA NA NA
1560636000.0 250403.0 378 0 137 NA NA NA NA 696 0 213 NA NA NA NA 1191 258 879 NA NA NA NA 1368 421 993 NA NA NA NA
1560636000.0 250403.17 432 0 138 NA NA NA NA 784 0 229 NA NA NA NA 1521 329 933 NA NA NA NA 1336 522 1095 NA NA NA NA
1560636000.0 250405.0 374 0 135 NA NA NA NA 741 0 216 NA NA NA NA 1206 232 956 NA NA NA NA 2338 300 1591 NA NA NA NA
1560636000.0 250406.17 389 0 137 NA NA NA NA 735 0 224 NA NA NA NA 1728 273 939 NA NA NA NA 2157 492 1234 NA NA NA NA
1560636000.0 250408.0 380 0 143 NA NA NA NA 744 0 222 NA NA NA NA 1616 245 909 NA NA NA NA 1651 348 1106 NA NA NA NA
1560636000.0 250408.17 398 0 141 NA NA NA NA 735 0 220 NA NA NA NA 1826 298 985 NA NA NA NA 1618 496 1169 NA NA NA NA
1560636000.0 250409.17 445 0 137 NA NA NA NA 779 0 234 NA NA NA NA 1860 289 1239 NA NA NA NA 1300 425 1861 NA NA NA NA
1560636000.0 36.0 NA 128 310 0 NA NA NA NA 593 470 0 NA NA NA NA 2228 8833 731 NA NA NA NA 1660 4674 1474 NA NA NA
1560636000.0 4.22 NA 178 71 74 0 NA NA NA 289 124 140 0 NA NA NA 1147 460 398 302 NA NA NA 1983 980 742 457 NA NA
1560636000.0 4.28 NA 70 295 0 NA NA NA NA 131 434 0 NA NA NA NA 419 3575 2871 NA NA NA NA 960 3435 3522 NA NA NA
1560636000.0 4001.0 NA 162 348 NA NA NA NA NA 558 520 NA NA NA NA NA 983 2883 NA NA NA NA NA 1938 3736 NA NA NA NA
1560636000.0 4002.0 NA 131 310 NA NA NA NA NA 593 445 NA NA NA NA NA 2225 2668 NA NA NA NA NA 1220 2253 NA NA NA NA
1560636000.0 4008.0 64 146 305 NA NA NA NA 131 559 445 NA NA NA NA 675 1069 1688 NA NA NA NA 1283 1301 2085 NA NA NA NA
1560636000.0 5.2 227 0 NA NA NA NA NA 688 0 NA NA NA NA NA 1107 316 NA NA NA NA NA 3005 709 NA NA NA NA NA
1560636000.0 5.4 298 0 NA NA NA NA NA 688 0 NA NA NA NA NA 1156 312 NA NA NA NA NA 1990 555 NA NA NA NA NA
1560636000.0 5.6 323 0 NA NA NA NA NA 686 0 NA NA NA NA NA 1257 352 NA NA NA NA NA 1729 1262 NA NA NA NA NA
1560636000.0 5.7 282 0 NA NA NA NA NA 644 0 NA NA NA NA NA 1830 335 NA NA NA NA NA 2066 892 NA NA NA NA NA
1560636000.0 50206.0 NA 197 410 0 NA NA NA NA 604 581 0 NA NA NA NA 1505 2976 573 NA NA NA NA 1819 2618 697 NA NA NA
1560636000.0 503.0 39 0 NA NA NA NA NA 86 0 NA NA NA NA NA 242 164 NA NA NA NA NA 646 344 NA NA NA NA NA
1560636000.0 504.0 37 0 NA NA NA NA NA 86 0 NA NA NA NA NA 223 164 NA NA NA NA NA 821 711 NA NA NA NA NA
1560636000.0 505.0 37 0 NA NA NA NA NA 88 0 NA NA NA NA NA 261 167 NA NA NA NA NA 1113 333 NA NA NA NA NA
1560636000.0 506.0 45 0 NA NA NA NA NA 88 0 NA NA NA NA NA 276 168 NA NA NA NA NA 2955 655 NA NA NA NA NA
1560636000.0 507.0 38 0 NA NA NA NA NA 85 0 NA NA NA NA NA 258 164 NA NA NA NA NA 804 327 NA NA NA NA NA
1560636000.0 508.0 44 0 NA NA NA NA NA 87 0 NA NA NA NA NA 208 162 NA NA NA NA NA 680 413 NA NA NA NA NA
1560636000.0 509.0 43 0 NA NA NA NA NA 84 0 NA NA NA NA NA 257 167 NA NA NA NA NA 959 697 NA NA NA NA NA
1560636000.0 510.0 36 0 NA NA NA NA NA 86 0 NA NA NA NA NA 290 166 NA NA NA NA NA 412 457 NA NA NA NA NA
1560636000.0 511.0 44 0 NA NA NA NA NA 95 0 NA NA NA NA NA 8860 133 NA NA NA NA NA 12356 469 NA NA NA NA NA
