Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1560805200.0 516.0 14 36 0 58 89 0 651 199 143 2299 462 472
1560805200.0 519.0 14 35 0 58 89 0 661 202 139 3073 431 480
1560805200.0 525.0 14 33 0 58 89 0 668 212 138 3899 940 354
1560805200.0 528.0 14 34 0 58 89 0 660 210 138 2486 642 387
1560805200.0 554.0 13 34 0 58 90 0 1589 212 140 2288 462 457
1560805200.0 562.0 14 34 0 58 89 0 346 190 142 2389 464 428
