Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560848400.0 10024.2 NA 188 389 0 NA 561 758 0 NA 1303 3568 1128 NA 1658 4959 1237
1560848400.0 10024.4 NA 193 387 0 NA 562 746 0 NA 972 3121 1431 NA 963 3979 1868
1560848400.0 101.0 94 NA NA NA 163 NA NA NA 866 NA NA NA 1104 NA NA NA
1560848400.0 102.0 91 NA NA NA 163 NA NA NA 778 NA NA NA 1231 NA NA NA
1560848400.0 103.0 43 0 0 NA 98 0 0 NA 563 337 2011 NA 1278 573 2829 NA
1560848400.0 10424.0 NA 183 379 0 NA 560 745 0 NA 1146 3262 1252 NA 1430 5037 1649
1560848400.0 106.0 42 0 0 NA 98 0 0 NA 600 508 2006 NA 1463 685 3147 NA
1560848400.0 10824.1 NA 321 215 0 NA 637 357 0 NA 2546 1470 441 NA 3145 3214 643
1560848400.0 1306.0 NA 145 336 0 NA 561 669 0 NA 720 2838 840 NA 905 4519 1016
1560848400.0 1310.0 NA 149 372 0 NA 606 691 0 NA 981 2286 747 NA 1455 2470 865
1560848400.0 1325.5 NA 174 0 NA NA 276 0 NA NA 6375 216 NA NA 9256 640 NA
1560848400.0 1325.51 NA 161 0 NA NA 265 0 NA NA 1905 219 NA NA 3449 979 NA
1560848400.0 1325.8 NA 209 0 NA NA 335 0 NA NA 3393 128 NA NA 2043 194 NA
1560848400.0 1329.1 NA 182 0 NA NA 324 0 NA NA 7525 197 NA NA 9971 673 NA
1560848400.0 1330.0 NA 149 407 0 NA 562 703 0 NA 995 2675 700 NA 1375 3495 779
1560848400.0 1349.0 NA 151 359 0 NA 560 680 0 NA 802 2431 726 NA 896 2620 832
1560848400.0 135.8 145 NA NA NA 257 NA NA NA 496 NA NA NA 1004 NA NA NA
1560848400.0 1352.0 NA 147 359 0 NA 560 670 0 NA 1029 2999 710 NA 2078 4233 789
1560848400.0 136.741 NA 96 376 0 NA 163 697 0 NA 823 18401 1023 NA 1077 10914 1246
1560848400.0 136.742 NA 98 370 0 NA 159 661 0 NA 739 16532 1050 NA 1077 7570 1238
1560848400.0 136.757 NA 97 374 0 NA 165 715 0 NA 897 14721 1202 NA 1091 5805 1384
1560848400.0 136.759 NA 88 390 0 NA 164 807 0 NA 796 16928 924 NA 1904 10878 2038
1560848400.0 136.7611 NA 186 0 NA NA 310 0 NA NA 7329 187 NA NA 9388 436 NA
1560848400.0 136.764 NA 97 380 0 NA 169 732 0 NA 749 23106 953 NA 1053 8905 1046
1560848400.0 136.768 NA 89 372 0 NA 159 687 0 NA 888 16566 916 NA 1973 10637 1924
1560848400.0 136.769 NA 98 375 0 NA 172 714 0 NA 788 14186 1259 NA 1080 5604 2476
1560848400.0 136.7721 NA 183 0 NA NA 289 0 NA NA 6806 205 NA NA 9194 778 NA
1560848400.0 136.7722 NA 166 0 NA NA 261 0 NA NA 7055 191 NA NA 9123 718 NA
1560848400.0 136.776 NA 96 387 0 NA 160 709 0 NA 739 13679 899 NA 704 5419 963
1560848400.0 136.779 NA 90 360 0 NA 168 714 0 NA 939 11933 882 NA 1999 7672 1570
1560848400.0 136.7801 NA 105 0 NA NA 175 0 NA NA 442 272 NA NA 1408 641 NA
1560848400.0 136.7802 NA 74 0 NA NA 138 0 NA NA 373 147 NA NA 949 285 NA
1560848400.0 136.7803 NA 117 0 NA NA 180 0 NA NA 525 224 NA NA 1577 432 NA
1560848400.0 136.785 NA 111 436 0 NA 183 740 0 NA 596 18314 1076 NA 516 8970 1493
1560848400.0 136.787 NA 117 504 0 NA 186 763 0 NA 773 22845 1334 NA 1077 12462 1764
1560848400.0 136.791 NA 108 342 0 NA 177 660 0 NA 801 3246 900 NA 1351 5117 2015
1560848400.0 136.7952 NA 189 0 NA NA 305 0 NA NA 3337 149 NA NA 2667 344 NA
1560848400.0 136.815 NA 111 363 0 NA 198 623 0 NA 833 3935 1284 NA 2318 3764 1716
1560848400.0 136.8311 NA 189 0 NA NA 300 0 NA NA 2303 148 NA NA 3085 340 NA
1560848400.0 136.839 NA 119 356 0 NA 191 706 0 NA 669 4232 1154 NA 881 3279 1278
1560848400.0 136.8521 NA 189 0 NA NA 278 0 NA NA 2650 122 NA NA 2799 283 NA
1560848400.0 136.87 NA 231 372 0 NA 371 721 0 NA 2610 4239 1307 NA 5491 5423 2282
1560848400.0 140.56 NA 707 0 NA NA 1471 0 NA NA 19268 930 NA NA 13030 2072 NA
1560848400.0 2017.8 199 NA NA NA 316 NA NA NA 603 NA NA NA 1111 NA NA NA
1560848400.0 2018.8 189 NA NA NA 304 NA NA NA 530 NA NA NA 744 NA NA NA
1560848400.0 250400.0 373 0 126 NA 846 0 237 NA 2437 352 982 NA 4366 689 2144 NA
1560848400.0 4.28 NA 63 314 0 NA 130 613 0 NA 418 4446 3253 NA 1207 6798 4037
1560848400.0 4.78 NA 59 334 0 NA 120 579 0 NA 360 10773 803 NA 882 7706 963
1560848400.0 4007.0 43 0 0 NA 100 0 0 NA 604 565 1852 NA 1178 1194 2384 NA
1560848400.0 500203.0 NA 224 363 0 NA 570 602 0 NA 7002 3290 628 NA 4366 3636 994
1560848400.0 50207.0 NA 232 466 0 NA 570 742 0 NA 2320 4451 734 NA 2678 4460 843
1560848400.0 503.0 36 0 NA NA 83 0 NA NA 209 129 NA NA 561 274 NA NA
1560848400.0 504.0 35 0 NA NA 85 0 NA NA 188 117 NA NA 241 236 NA NA
1560848400.0 505.0 36 0 NA NA 84 0 NA NA 176 140 NA NA 510 590 NA NA
1560848400.0 506.0 35 0 NA NA 85 0 NA NA 169 137 NA NA 337 592 NA NA
1560848400.0 507.0 30 0 NA NA 83 0 NA NA 212 131 NA NA 555 321 NA NA
1560848400.0 508.0 35 0 NA NA 84 0 NA NA 170 126 NA NA 760 535 NA NA
1560848400.0 509.0 30 0 NA NA 82 0 NA NA 165 139 NA NA 337 676 NA NA
1560848400.0 510.0 34 0 NA NA 84 0 NA NA 257 118 NA NA 362 240 NA NA
1560848400.0 511.0 42 0 NA NA 109 0 NA NA 9103 134 NA NA 12714 290 NA NA
1560848400.0 512.0 16 36 0 NA 58 87 0 NA 1941 177 131 NA 30795 273 492 NA
1560848400.0 513.0 14 37 0 NA 58 89 0 NA 837 237 181 NA 5629 778 769 NA
1560848400.0 514.0 19 35 0 NA 59 95 0 NA 377 214 124 NA 1444 541 238 NA
1560848400.0 515.0 16 42 0 NA 59 89 0 NA 1932 186 127 NA 30279 1118 461 NA
1560848400.0 516.0 14 38 0 NA 61 89 0 NA 813 243 173 NA 5633 809 864 NA
1560848400.0 517.0 14 35 0 NA 58 91 0 NA 930 219 126 NA 1839 337 322 NA
1560848400.0 518.0 16 39 0 NA 58 88 0 NA 1922 202 120 NA 30279 976 260 NA
