Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560718800.0 1040.0 NA 309 NA NA NA NA NA NA NA NA 622 NA NA NA NA NA NA NA NA 2023 NA NA NA NA NA NA NA NA 2155 NA NA NA NA NA NA NA
1560718800.0 1040.1 NA 60 23 0 NA NA NA NA NA NA 139 76 0 NA NA NA NA NA NA 706 260 171 NA NA NA NA NA NA 2234 1515 1285 NA NA NA NA NA
1560718800.0 105.0 74 100 27 NA NA NA NA NA NA 202 409 72 NA NA NA NA NA NA 1082 554 134 NA NA NA NA NA NA 2413 561 232 NA NA NA NA NA NA
1560718800.0 10801.0 NA 279 NA NA NA NA NA NA NA NA 698 NA NA NA NA NA NA NA NA 3169 NA NA NA NA NA NA NA NA 3447 NA NA NA NA NA NA NA
1560718800.0 10802.0 NA 288 NA NA NA NA NA NA NA NA 644 NA NA NA NA NA NA NA NA 3216 NA NA NA NA NA NA NA NA 3500 NA NA NA NA NA NA NA
1560718800.0 10803.0 NA 269 NA NA NA NA NA NA NA NA 714 NA NA NA NA NA NA NA NA 3147 NA NA NA NA NA NA NA NA 3082 NA NA NA NA NA NA NA
1560718800.0 10804.0 NA 278 NA NA NA NA NA NA NA NA 621 NA NA NA NA NA NA NA NA 3202 NA NA NA NA NA NA NA NA 3508 NA NA NA NA NA NA NA
1560718800.0 10805.0 NA 256 NA NA NA NA NA NA NA NA 660 NA NA NA NA NA NA NA NA 2829 NA NA NA NA NA NA NA NA 3051 NA NA NA NA NA NA NA
1560718800.0 10806.0 NA 245 NA NA NA NA NA NA NA NA 668 NA NA NA NA NA NA NA NA 3409 NA NA NA NA NA NA NA NA 4181 NA NA NA NA NA NA NA
1560718800.0 10807.0 NA 262 NA NA NA NA NA NA NA NA 630 NA NA NA NA NA NA NA NA 2966 NA NA NA NA NA NA NA NA 2817 NA NA NA NA NA NA NA
1560718800.0 10808.0 NA 257 NA NA NA NA NA NA NA NA 702 NA NA NA NA NA NA NA NA 3529 NA NA NA NA NA NA NA NA 3251 NA NA NA NA NA NA NA
1560718800.0 10809.0 NA 263 NA NA NA NA NA NA NA NA 683 NA NA NA NA NA NA NA NA 2967 NA NA NA NA NA NA NA NA 2813 NA NA NA NA NA NA NA
1560718800.0 10823.0 NA 247 NA NA NA NA NA NA NA NA 687 NA NA NA NA NA NA NA NA 3401 NA NA NA NA NA NA NA NA 5030 NA NA NA NA NA NA NA
1560718800.0 10824.0 NA 288 NA NA NA NA NA NA NA NA 666 NA NA NA NA NA NA NA NA 3219 NA NA NA NA NA NA NA NA 3051 NA NA NA NA NA NA NA
1560718800.0 10824.1 NA 314 214 0 NA NA NA NA NA NA 723 336 0 NA NA NA NA NA NA 2087 952 336 NA NA NA NA NA NA 2456 1058 377 NA NA NA NA NA
1560718800.0 10824.5 NA 319 111 0 NA NA NA NA NA NA 704 251 0 NA NA NA NA NA NA 2056 686 153 NA NA NA NA NA NA 1596 1020 224 NA NA NA NA NA
1560718800.0 10824.6 NA 288 NA NA NA NA NA NA NA NA 736 NA NA NA NA NA NA NA NA 3257 NA NA NA NA NA NA NA NA 3051 NA NA NA NA NA NA NA
1560718800.0 10824.7 NA 295 NA NA NA NA NA NA NA NA 666 NA NA NA NA NA NA NA NA 3255 NA NA NA NA NA NA NA NA 2987 NA NA NA NA NA NA NA
1560718800.0 10824.8 NA 305 NA NA NA NA NA NA NA NA 657 NA NA NA NA NA NA NA NA 3688 NA NA NA NA NA NA NA NA 3535 NA NA NA NA NA NA NA
1560718800.0 10825.0 NA 277 NA NA NA NA NA NA NA NA 655 NA NA NA NA NA NA NA NA 2447 NA NA NA NA NA NA NA NA 3563 NA NA NA NA NA NA NA
1560718800.0 10826.0 NA 293 NA NA NA NA NA NA NA NA 674 NA NA NA NA NA NA NA NA 3053 NA NA NA NA NA NA NA NA 3050 NA NA NA NA NA NA NA
1560718800.0 10842.0 NA 274 NA NA NA NA NA NA NA NA 656 NA NA NA NA NA NA NA NA 2932 NA NA NA NA NA NA NA NA 3051 NA NA NA NA NA NA NA
1560718800.0 10842.7 NA 275 NA NA NA NA NA NA NA NA 656 NA NA NA NA NA NA NA NA 3122 NA NA NA NA NA NA NA NA 3125 NA NA NA NA NA NA NA
1560718800.0 10859.0 NA 300 NA NA NA NA NA NA NA NA 723 NA NA NA NA NA NA NA NA 3153 NA NA NA NA NA NA NA NA 2965 NA NA NA NA NA NA NA
1560718800.0 10871.0 NA 275 NA NA NA NA NA NA NA NA 710 NA NA NA NA NA NA NA NA 3170 NA NA NA NA NA NA NA NA 2873 NA NA NA NA NA NA NA
1560718800.0 11.0 NA 112 260 0 60 NA NA NA NA NA 473 593 0 117 NA NA NA NA NA 1996 2232 790 337 NA NA NA NA NA 3893 4944 1745 1456 NA NA NA NA
