Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560718800.0 250199.0 150 NA NA NA NA NA NA 1064 NA NA NA NA NA NA 10152 NA NA NA NA NA NA 10540 NA NA NA NA NA NA
1560718800.0 250199.17 174 NA NA NA NA NA NA 1086 NA NA NA NA NA NA 10656 NA NA NA NA NA NA 10963 NA NA NA NA NA NA
1560718800.0 250199.18 200 NA NA NA NA NA NA 1116 NA NA NA NA NA NA 15138 NA NA NA NA NA NA 15597 NA NA NA NA NA NA
1560718800.0 250399.0 113 NA NA NA NA NA NA 1020 NA NA NA NA NA NA 3020 NA NA NA NA NA NA 3405 NA NA NA NA NA NA
1560718800.0 250399.17 133 NA NA NA NA NA NA 1045 NA NA NA NA NA NA 4395 NA NA NA NA NA NA 4621 NA NA NA NA NA NA
1560718800.0 250399.18 136 NA NA NA NA NA NA 1046 NA NA NA NA NA NA 4161 NA NA NA NA NA NA 4640 NA NA NA NA NA NA
1560718800.0 4.22 NA 144 77 69 0 NA NA NA 1046 934 973 0 NA NA NA 3363 655 826 825 NA NA NA 3744 1083 956 927 NA NA
1560718800.0 4008.0 50 0 0 NA NA NA NA 921 0 0 NA NA NA NA 1539 520 4676 NA NA NA NA 1773 684 5266 NA NA NA NA
1560718800.0 500199.0 123 NA NA NA NA NA NA 1033 NA NA NA NA NA NA 6040 NA NA NA NA NA NA 6347 NA NA NA NA NA NA
1560718800.0 503.0 40 0 NA NA NA NA NA 899 0 NA NA NA NA NA 717 491 NA NA NA NA NA 897 717 NA NA NA NA NA
1560718800.0 504.0 41 0 NA NA NA NA NA 899 0 NA NA NA NA NA 615 500 NA NA NA NA NA 870 741 NA NA NA NA NA
1560718800.0 505.0 40 0 NA NA NA NA NA 899 0 NA NA NA NA NA 596 464 NA NA NA NA NA 835 679 NA NA NA NA NA
1560718800.0 506.0 41 0 NA NA NA NA NA 899 0 NA NA NA NA NA 584 493 NA NA NA NA NA 828 746 NA NA NA NA NA
1560718800.0 507.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 737 496 NA NA NA NA NA 1048 748 NA NA NA NA NA
1560718800.0 508.0 41 0 NA NA NA NA NA 898 0 NA NA NA NA NA 562 462 NA NA NA NA NA 880 672 NA NA NA NA NA
1560718800.0 509.0 40 0 NA NA NA NA NA 898 0 NA NA NA NA NA 559 459 NA NA NA NA NA 777 735 NA NA NA NA NA
1560718800.0 510.0 41 0 NA NA NA NA NA 899 0 NA NA NA NA NA 994 461 NA NA NA NA NA 1283 683 NA NA NA NA NA
1560718800.0 531.0 52 0 NA NA NA NA NA 1008 0 NA NA NA NA NA 540 460 NA NA NA NA NA 855 660 NA NA NA NA NA
1560718800.0 541.0 50 0 NA NA NA NA NA 909 0 NA NA NA NA NA 668 505 NA NA NA NA NA 932 754 NA NA NA NA NA
1560718800.0 545.0 49 0 NA NA NA NA NA 909 0 NA NA NA NA NA 770 460 NA NA NA NA NA 977 680 NA NA NA NA NA
1560718800.0 560.0 42 0 NA NA NA NA NA 899 0 NA NA NA NA NA 591 467 NA NA NA NA NA 969 691 NA NA NA NA NA
1560718800.0 561.0 40 0 NA NA NA NA NA 899 0 NA NA NA NA NA 590 494 NA NA NA NA NA 842 724 NA NA NA NA NA
1560718800.0 7.0 57 85 137 59 0 NA NA 924 947 994 920 0 NA NA 1977 978 1768 634 847 NA NA 2209 1658 2641 1154 921 NA NA
1560718800.0 7.1 56 86 138 68 0 NA NA 924 948 994 920 0 NA NA 3711 973 1687 627 855 NA NA 3980 1580 2280 821 974 NA NA
1560718800.0 7.21 57 113 175 66 0 NA NA 925 976 1045 922 0 NA NA 2042 1226 2021 558 1472 NA NA 2706 2030 2303 847 2047 NA NA
1560718800.0 7.22 57 93 150 65 0 NA NA 924 956 1018 921 0 NA NA 2037 1055 1828 608 947 NA NA 2467 1569 2249 765 1181 NA NA
1560718800.0 8.2 55 118 181 62 0 NA NA 919 980 1047 909 0 NA NA 1838 1798 2068 404 1415 NA NA 2225 2112 2301 458 1488 NA NA
