Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560805200.0 122.0 61 93 255 NA NA NA NA 114 122 315 NA NA NA NA 2660 1166 6664 NA NA NA NA 3724 2899 6912 NA NA NA NA
1560805200.0 123.1 259 NA NA NA NA NA NA 306 NA NA NA NA NA NA 1457 NA NA NA NA NA NA 1517 NA NA NA NA NA NA
1560805200.0 123.2 261 NA NA NA NA NA NA 307 NA NA NA NA NA NA 1747 NA NA NA NA NA NA 1852 NA NA NA NA NA NA
1560805200.0 123.3 258 NA NA NA NA NA NA 306 NA NA NA NA NA NA 1234 NA NA NA NA NA NA 1291 NA NA NA NA NA NA
1560805200.0 124.1 256 NA NA NA NA NA NA 306 NA NA NA NA NA NA 1234 NA NA NA NA NA NA 1294 NA NA NA NA NA NA
1560805200.0 124.2 260 NA NA NA NA NA NA 307 NA NA NA NA NA NA 1409 NA NA NA NA NA NA 1474 NA NA NA NA NA NA
1560805200.0 124.4 257 NA NA NA NA NA NA 306 NA NA NA NA NA NA 1259 NA NA NA NA NA NA 1333 NA NA NA NA NA NA
1560805200.0 124.5 260 NA NA NA NA NA NA 306 NA NA NA NA NA NA 1268 NA NA NA NA NA NA 1317 NA NA NA NA NA NA
1560805200.0 124.6 258 NA NA NA NA NA NA 306 NA NA NA NA NA NA 1279 NA NA NA NA NA NA 1492 NA NA NA NA NA NA
1560805200.0 125.0 62 83 260 NA NA NA NA 119 124 316 NA NA NA NA 10679 1739 7195 NA NA NA NA 13072 1902 7467 NA NA NA NA
1560805200.0 126.0 54 82 263 NA NA NA NA 100 120 314 NA NA NA NA 4246 1648 6861 NA NA NA NA 5512 2456 7101 NA NA NA NA
1560805200.0 127.0 59 85 263 NA NA NA NA 100 120 314 NA NA NA NA 5003 1616 6789 NA NA NA NA 6591 2175 7073 NA NA NA NA
1560805200.0 128.0 56 90 260 NA NA NA NA 100 123 314 NA NA NA NA 1940 1630 6775 NA NA NA NA 3147 2168 7007 NA NA NA NA
1560805200.0 129.0 56 85 257 NA NA NA NA 100 120 314 NA NA NA NA 1989 1629 6668 NA NA NA NA 3025 2248 6901 NA NA NA NA
1560805200.0 13.0 NA 91 269 0 NA NA NA NA 168 323 0 NA NA NA NA 1602 9400 2373 NA NA NA NA 2751 10116 2437 NA NA NA
1560805200.0 130.0 55 89 252 NA NA NA NA 100 120 314 NA NA NA NA 2295 1590 6825 NA NA NA NA 3708 2066 7088 NA NA NA NA
1560805200.0 1301.0 62 98 196 NA NA NA NA 111 130 240 NA NA NA NA 1451 489 1499 NA NA NA NA 1499 533 1689 NA NA NA NA
1560805200.0 1301.17 58 118 216 NA NA NA NA 105 151 261 NA NA NA NA 4704 1880 4925 NA NA NA NA 6354 2387 5085 NA NA NA NA
1560805200.0 1302.0 62 98 201 NA NA NA NA 113 132 246 NA NA NA NA 17392 1647 5074 NA NA NA NA 20227 1792 5258 NA NA NA NA
1560805200.0 1302.17 57 115 226 NA NA NA NA 107 152 266 NA NA NA NA 19066 2090 5601 NA NA NA NA 21366 2276 5811 NA NA NA NA
1560805200.0 1302.18 58 170 194 NA NA NA NA 106 219 238 NA NA NA NA 19181 6747 4048 NA NA NA NA 22242 6919 4253 NA NA NA NA
1560805200.0 1303.0 64 95 201 NA NA NA NA 116 133 251 NA NA NA NA 34212 1466 6963 NA NA NA NA 37570 1634 7180 NA NA NA NA
1560805200.0 1303.17 60 115 224 NA NA NA NA 111 153 269 NA NA NA NA 33804 1893 6805 NA NA NA NA 37397 2088 6979 NA NA NA NA
1560805200.0 1304.18 57 174 193 138 NA NA NA 105 218 236 182 NA NA NA 11187 6510 3630 2754 NA NA NA 12991 6732 3823 2922 NA NA NA
