Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 126.0 54 86 267 NA NA NA 100 120 314 NA NA NA 1962 1092 2886 NA NA NA 2070 1312 3030 NA NA NA
1560718800.0 127.0 56 80 259 NA NA NA 100 120 314 NA NA NA 2317 967 3178 NA NA NA 2386 1515 3350 NA NA NA
1560718800.0 128.0 56 88 257 NA NA NA 100 123 314 NA NA NA 1043 828 3062 NA NA NA 1573 990 3194 NA NA NA
1560718800.0 129.0 54 64 NA NA NA NA 101 105 NA NA NA NA 1110 574 NA NA NA NA 2078 979 NA NA NA NA
1560718800.0 130.0 55 85 262 NA NA NA 100 120 314 NA NA NA 1329 790 2510 NA NA NA 1487 940 2657 NA NA NA
1560718800.0 1301.0 60 94 195 NA NA NA 111 131 241 NA NA NA 2366 754 2528 NA NA NA 2498 846 2692 NA NA NA
1560718800.0 1301.17 58 113 216 NA NA NA 105 151 261 NA NA NA 2216 1032 2198 NA NA NA 2464 1106 2302 NA NA NA
1560718800.0 1302.0 63 95 203 NA NA NA 113 132 246 NA NA NA 6433 1037 2307 NA NA NA 7432 1620 2505 NA NA NA
1560718800.0 1302.17 57 114 225 NA NA NA 107 152 266 NA NA NA 8720 997 2257 NA NA NA 8974 1075 2363 NA NA NA
1560718800.0 1302.18 58 176 194 NA NA NA 107 219 238 NA NA NA 8743 2342 1593 NA NA NA 9311 2442 1677 NA NA NA
1560718800.0 1303.0 64 102 206 NA NA NA 116 133 251 NA NA NA 12138 635 2575 NA NA NA 12403 700 2707 NA NA NA
1560718800.0 1304.18 57 169 194 141 NA NA 105 218 236 182 NA NA 4769 3472 2042 1547 NA NA 5989 4020 2182 1674 NA NA
1560718800.0 1304.181 57 168 192 143 NA NA 105 218 237 183 NA NA 4284 3125 1820 1129 NA NA 5181 3522 1931 1358 NA NA
1560718800.0 1306.0 NA 95 295 0 NA NA NA 174 349 0 NA NA NA 1176 4180 1054 NA NA NA 1712 4433 1101 NA NA
1560718800.0 131.0 55 87 263 NA NA NA 101 123 314 NA NA NA 2201 848 2769 NA NA NA 2322 1185 2912 NA NA NA
1560718800.0 1316.0 NA 93 298 0 NA NA NA 172 352 0 NA NA NA 1117 3275 1219 NA NA NA 1393 3507 1269 NA NA
1560718800.0 132.0 62 84 264 NA NA NA 117 126 318 NA NA NA 4826 1245 3439 NA NA NA 5891 1421 3614 NA NA NA
1560718800.0 1321.0 NA 94 297 0 NA NA NA 174 352 0 NA NA NA 1141 3310 1080 NA NA NA 1423 3541 1131 NA NA
1560718800.0 1324.0 NA 97 299 0 NA NA NA 177 360 0 NA NA NA 1319 3425 1169 NA NA NA 1472 3553 1215 NA NA
1560718800.0 1325.4 NA 101 302 0 NA NA NA 177 359 0 NA NA NA 1140 3521 1254 NA NA NA 1459 3646 1302 NA NA
1560718800.0 1325.5 NA 157 0 NA NA NA NA 238 0 NA NA NA NA 5897 317 NA NA NA NA 6260 367 NA NA NA
1560718800.0 1325.6 NA 203 NA NA NA NA NA 306 NA NA NA NA NA 7335 NA NA NA NA NA 8016 NA NA NA NA
1560718800.0 1325.7 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 1325.8 NA 198 0 NA NA NA NA 301 0 NA NA NA NA 8790 293 NA NA NA NA 9188 339 NA NA NA
1560718800.0 1329.1 NA 191 0 NA NA NA NA 289 0 NA NA NA NA 6994 305 NA NA NA NA 7669 350 NA NA NA
