Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560636000.0 1.0 92 83 143 NA NA NA NA 185 368 232 NA NA NA NA 3459 932 391 NA NA NA NA 2405 784 756 NA NA NA NA
1560636000.0 1000.0 NA 473 152 0 47 NA NA NA 581 248 0 91 NA NA NA 2478 943 579 150 NA NA NA 5499 1612 876 335 NA NA
1560636000.0 10001.0 NA 199 652 81 0 NA NA NA 476 820 132 0 NA NA NA 1369 1436 300 1353 NA NA NA 1346 2451 615 1448 NA NA
1560636000.0 1002.0 NA 474 76 NA NA NA NA NA 565 125 NA NA NA NA NA 1997 315 NA NA NA NA NA 1372 323 NA NA NA NA
1560636000.0 10024.1 NA 237 268 0 NA NA NA NA 475 365 0 NA NA NA NA 1470 684 243 NA NA NA NA 1585 680 254 NA NA NA
1560636000.0 10024.2 NA 227 670 0 NA NA NA NA 483 832 0 NA NA NA NA 1723 1468 1417 NA NA NA NA 1612 1201 1516 NA NA NA
1560636000.0 10024.3 NA 241 243 0 NA NA NA NA 481 353 0 NA NA NA NA 737 408 163 NA NA NA NA 766 378 177 NA NA NA
1560636000.0 10024.5 NA 241 269 0 NA NA NA NA 483 396 0 NA NA NA NA 769 422 192 NA NA NA NA 1002 386 201 NA NA NA
1560636000.0 10024.6 NA 215 669 0 NA NA NA NA 484 823 0 NA NA NA NA 1607 1510 1294 NA NA NA NA 1623 1268 1317 NA NA NA
1560636000.0 1003.0 NA 406 0 NA NA NA NA NA 497 0 NA NA NA NA NA 2756 424 NA NA NA NA NA 1255 439 NA NA NA NA
